"Gene ID","Transcript","# exons","Transcript length","Protein length"
"cgd1_1750","cgd1_1750-RA","1","1539","512"
"cgd1_1760","cgd1_1760-RA","1","1196","340"
"cgd1_1770","cgd1_1770-RA","2","417","127"
"cgd1_1780","cgd1_1780-RA","1","1383","460"
"cgd1_1790","cgd1_1790-RA","1","1983","660"
"cgd1_180","cgd1_180-RA","1","1587","528"
"cgd1_1800","cgd1_1800-RA","1","1482","493"
"cgd1_1810","cgd1_1810-RA","1","2022","673"
"cgd1_1820","cgd1_1820-RA","1","579","192"
"cgd1_1830","cgd1_1830-RA","1","618","205"
"cgd1_1840","cgd1_1840-RA","1","2799","932"
"cgd1_1850","cgd1_1850-RA","1","450","149"
"cgd1_1860","cgd1_1860-RA","1","1131","376"
"cgd1_1870","cgd1_1870-RA","1","1461","486"
"cgd1_1880","cgd1_1880-RA","1","612","203"
"cgd1_1890","cgd1_1890-RA","2","681","226"
"cgd1_190","cgd1_190-RA","1","1683","560"
"cgd1_1900","cgd1_1900-RA","1","799","237"
"cgd1_1910","cgd1_1910-RA","1","1010","297"
"cgd1_1920","cgd1_1920-RA","1","13909","4612"
"cgd1_1930","cgd1_1930-RA","2","1476","491"
"cgd1_1940","cgd1_1940-RA","1","558","185"
"cgd1_1950","cgd1_1950-RA","1","1242","413"
"cgd1_1960","cgd1_1960-RA","1","630","200"
"cgd1_1970","cgd1_1970-RA","1","909","189"
"cgd1_1980","cgd1_1980-RA","1","1494","497"
"cgd1_1990","cgd1_1990-RA","3","891","296"
"cgd1_20","cgd1_20-RA","1","1464","438"
"cgd1_200","cgd1_200-RA","2","549","183"
"cgd1_2000","cgd1_2000-RA","1","2094","697"
"cgd1_2010","cgd1_2010-RA","1","1899","632"
"cgd1_2020","cgd1_2020-RA","1","621","206"
"cgd1_203","cgd1_203-RA","2","440","130"
"cgd1_2030","cgd1_2030-RA","1","1557","518"
"cgd1_2040","cgd1_2040-RA","1","1599","526"
"cgd1_2050","cgd1_2050-RA","1","801","253"
"cgd1_2060","cgd1_2060-RA","3","558","185"
"cgd1_2070","cgd1_2070-RA","1","1500","499"
"cgd1_2080","cgd1_2080-RA","1","693","230"
"cgd1_2090","cgd1_2090-RA","1","1113","370"
"cgd1_210","cgd1_210-RA","1","615","165"
"cgd1_2100","cgd1_2100-RA","3","1413","470"
"cgd1_2110","cgd1_2110-RA","1","4674","1557"
"cgd1_2120","cgd1_2120-RA","1","2790","929"
"cgd1_2130","cgd1_2130-RA","1","1923","640"
"cgd1_2140","cgd1_2140-RA","1","846","281"
"cgd1_2150","cgd1_2150-RA","1","2070","689"
"cgd1_2160","cgd1_2160-RA","1","2250","749"
"cgd1_2170","cgd1_2170-RA","2","1157","366"
"cgd1_2180","cgd1_2180-RA","1","1782","593"
"cgd1_2190","cgd1_2190-RA","1","2934","977"
"cgd1_220","cgd1_220-RA","1","1281","426"
"cgd1_2200","cgd1_2200-RA","1","1374","457"
"cgd1_2210","cgd1_2210-RA","1","360","119"
"cgd1_2220","cgd1_2220-RA","1","642","213"
"cgd1_2230","cgd1_2230-RA","1","1197","398"
"cgd1_2240","cgd1_2240-RA","1","1278","425"
"cgd1_2250","cgd1_2250-RA","1","432","121"
"cgd1_2260","cgd1_2260-RA","1","435","144"
"cgd1_2270","cgd1_2270-RA","1","324","107"
"cgd1_2280","cgd1_2280-RA","1","558","185"
"cgd1_2290","cgd1_2290-RA","1","2043","663"
"cgd1_2293","cgd1_2293-RA","2","237","71"
"cgd1_230","cgd1_230-RA","1","1425","463"
"cgd1_2300","cgd1_2300-RA","1","4701","1566"
"cgd1_2310","cgd1_2310-RA","2","492","155"
"cgd1_2313","cgd1_2313-RA","1","341","69"
"cgd1_2320","cgd1_2320-RA","1","1323","440"
"cgd1_2330","cgd1_2330-RA","1","843","280"
"cgd1_2340","cgd1_2340-RA","1","546","181"
"cgd1_2350","cgd1_2350-RA","1","1680","559"
"cgd1_2360","cgd1_2360-RA","1","915","304"
"cgd1_2370","cgd1_2370-RA","1","990","323"
"cgd1_2380","cgd1_2380-RA","1","1689","562"
"cgd1_2390","cgd1_2390-RA","1","660","219"
"cgd1_240","cgd1_240-RA","1","1065","354"
"cgd1_2400","cgd1_2400-RA","1","996","331"
"cgd1_2403","cgd1_2403-RA","3","462","153"
"cgd1_2410","cgd1_2410-RA","4","3186","1051"
"cgd1_2420","cgd1_2420-RA","1","1173","389"
"cgd1_2430","cgd1_2430-RA","1","936","311"
"cgd1_2440","cgd1_2440-RA","1","1386","461"
"cgd1_2450","cgd1_2450-RA","1","2748","915"
"cgd1_2460","cgd1_2460-RA","1","573","190"
"cgd1_2470","cgd1_2470-RA","1","951","316"
"cgd1_2480","cgd1_2480-RA","3","1315","438"
"cgd1_2490","cgd1_2490-RA","2","1003","246"
"cgd1_250","cgd1_250-RA","1","1634","499"
"cgd1_2500","cgd1_2500-RA","1","1899","632"
"cgd1_2510","cgd1_2510-RA","1","879","292"
"cgd1_2520","cgd1_2520-RA","1","321","106"
"cgd1_2530","cgd1_2530-RA","1","3897","1298"
"cgd1_2540","cgd1_2540-RA","1","3567","1188"
"cgd1_2550","cgd1_2550-RA","1","537","178"
"cgd1_2560","cgd1_2560-RA","1","930","309"
"cgd1_2570","cgd1_2570-RA","1","4347","1448"
"cgd1_2580","cgd1_2580-RA","1","744","247"
"cgd1_2590","cgd1_2590-RA","1","771","256"
"cgd1_260","cgd1_260-RA","1","1386","461"
"cgd1_2600","cgd1_2600-RA","1","2262","753"
"cgd1_2610","cgd1_2610-RA","1","6264","2087"
"cgd1_2620","cgd1_2620-RA","1","3035","473"
"cgd1_2630","cgd1_2630-RA","1","1158","245"
"cgd1_2635","cgd1_2635-RA","1","73","N/A"
"cgd1_2640","cgd1_2640-RA","1","354","96"
"cgd1_2650","cgd1_2650-RA","1","2604","865"
"cgd1_2660","cgd1_2660-RA","1","543","159"
"cgd1_2663","cgd1_2663-RA","3","527","172"
"cgd1_2670","cgd1_2670-RA","1","1512","503"
"cgd1_2680","cgd1_2680-RA","2","873","288"
"cgd1_2690","cgd1_2690-RA","1","204","67"
"cgd1_270","cgd1_270-RA","2","438","145"
"cgd1_2700","cgd1_2700-RA","1","1224","407"
"cgd1_2710","cgd1_2710-RA","1","1068","355"
"cgd1_2720","cgd1_2720-RA","1","2283","760"
"cgd1_2730","cgd1_2730-RA","1","2082","693"
"cgd1_2740","cgd1_2740-RA","1","2586","861"
"cgd1_2750","cgd1_2750-RA","1","1896","631"
"cgd1_2760","cgd1_2760-RA","1","1197","397"
"cgd1_2770","cgd1_2770-RA","1","3846","1281"
"cgd1_2780","cgd1_2780-RA","1","1161","288"
"cgd1_2783","cgd1_2783-RA","2","740","172"
"cgd1_2790","cgd1_2790-RA","3","496","109"
"cgd1_280","cgd1_280-RA","1","1104","367"
"cgd1_2800","cgd1_2800-RA","1","522","173"
"cgd1_2810","cgd1_2810-RA","3","1648","512"
"cgd1_2830","cgd1_2830-RA","1","1108","324"
"cgd1_2840","cgd1_2840-RA","1","4571","1493"
"cgd1_2850","cgd1_2850-RA","1","3468","1155"
"cgd1_2860","cgd1_2860-RA","1","1610","285"
"cgd1_2870","cgd1_2870-RA","1","2079","692"
"cgd1_2880","cgd1_2880-RA","1","1934","76"
"cgd1_2890","cgd1_2890-RA","1","2946","981"
"cgd1_290","cgd1_290-RA","1","1500","488"
"cgd1_2900","cgd1_2900-RA","1","1773","590"
"cgd1_2910","cgd1_2910-RA","1","420","139"
"cgd1_2920","cgd1_2920-RA","1","663","220"
"cgd1_2940","cgd1_2940-RA","1","777","258"
"cgd1_2943","cgd1_2943-RA","4","623","123"
"cgd1_2950","cgd1_2950-RA","4","1122","311"
"cgd1_2960","cgd1_2960-RA","1","2428","751"
"cgd1_2970","cgd1_2970-RA","1","1167","388"
"cgd1_2980","cgd1_2980-RA","1","744","242"
"cgd1_2990","cgd1_2990-RA","1","417","138"
"cgd1_30","cgd1_30-RA","1","4953","1650"
"cgd1_300","cgd1_300-RA","2","328","82"
"cgd1_3000","cgd1_3000-RA","1","489","145"
"cgd1_3010","cgd1_3010-RA","1","855","284"
"cgd1_3020","cgd1_3020-RA","1","1110","358"
"cgd1_3030","cgd1_3030-RA","1","2463","820"
"cgd1_3033","cgd1_3033-RA","4","657","206"
"cgd1_3040","cgd1_3040-RA","1","753","250"
"cgd1_3050","cgd1_3050-RA","1","1380","459"
"cgd1_3060","cgd1_3060-RA","2","1359","428"
"cgd1_3070","cgd1_3070-RA","1","11588","3779"
"cgd1_3080","cgd1_3080-RA","1","993","287"
"cgd1_3090","cgd1_3090-RA","1","1227","408"
"cgd1_3095","cgd1_3095-RA","1","71","N/A"
"cgd1_310","cgd1_310-RA","1","1095","349"
"cgd1_3100","cgd1_3100-RA","1","2180","610"
"cgd1_3110","cgd1_3110-RA","1","2538","845"
"cgd1_3120","cgd1_3120-RA","1","2249","581"
"cgd1_3130","cgd1_3130-RA","1","2079","692"
"cgd1_3140","cgd1_3140-RA","1","618","199"
"cgd1_3150","cgd1_3150-RA","1","984","327"
"cgd1_3160","cgd1_3160-RA","1","4359","1452"
"cgd1_3170","cgd1_3170-RA","1","4860","1619"
"cgd1_3180","cgd1_3180-RA","1","1371","456"
"cgd1_3190","cgd1_3190-RA","1","2390","740"
"cgd1_320","cgd1_320-RA","1","1773","582"
"cgd1_3200","cgd1_3200-RA","1","864","254"
"cgd1_3210","cgd1_3210-RA","1","3123","1040"
"cgd1_3220","cgd1_3220-RA","1","2022","673"
"cgd1_3230","cgd1_3230-RA","1","2640","864"
"cgd1_3240","cgd1_3240-RA","1","9555","3184"
"cgd1_3250","cgd1_3250-RA","1","726","241"
"cgd1_3260","cgd1_3260-RA","1","1038","345"
"cgd1_3270","cgd1_3270-RA","1","2323","604"
"cgd1_3280","cgd1_3280-RA","1","939","312"
"cgd1_3290","cgd1_3290-RA","1","2407","729"
"cgd1_330","cgd1_330-RA","1","2648","814"
"cgd1_3300","cgd1_3300-RA","1","891","296"
"cgd1_3310","cgd1_3310-RA","1","684","227"
"cgd1_3320","cgd1_3320-RA","1","855","284"
"cgd1_3330","cgd1_3330-RA","1","631","188"
"cgd1_3340","cgd1_3340-RA","1","1484","305"
"cgd1_3343","cgd1_3343-RA","2","494","155"
"cgd1_3350","cgd1_3350-RA","1","519","172"
"cgd1_3360","cgd1_3360-RA","2","1932","643"
"cgd1_3370","cgd1_3370-RA","1","636","211"
"cgd1_3380","cgd1_3380-RA","1","889","274"
"cgd1_3390","cgd1_3390-RA","1","1884","460"
"cgd1_340","cgd1_340-RA","1","1483","397"
"cgd1_3400","cgd1_3400-RA","1","1240","383"
"cgd1_3410","cgd1_3410-RA","1","273","38"
"cgd1_3420","cgd1_3420-RA","1","2205","734"
"cgd1_3430","cgd1_3430-RA","1","428","103"
"cgd1_3440","cgd1_3440-RA","1","1470","407"
"cgd1_3450","cgd1_3450-RA","4","2022","655"
"cgd1_3460","cgd1_3460-RA","1","960","289"
"cgd1_3470","cgd1_3470-RA","3","588","186"
"cgd1_3480","cgd1_3480-RA","1","1838","456"
"cgd1_3490","cgd1_3490-RA","1","457","133"
"cgd1_350","cgd1_350-RA","1","2343","569"
"cgd1_3500","cgd1_3500-RA","1","2495","687"
"cgd1_3510","cgd1_3510-RA","1","1761","507"
"cgd1_3520","cgd1_3520-RA","1","1671","556"
"cgd1_3530","cgd1_3530-RA","1","2680","198"
"cgd1_3540","cgd1_3540-RA","1","5820","1500"
"cgd1_3543","cgd1_3543-RA","3","497","165"
"cgd1_3550","cgd1_3550-RA","1","2778","925"
"cgd1_3560","cgd1_3560-RA","1","381","126"
"cgd1_3570","cgd1_3570-RA","1","1260","267"
"cgd1_3580","cgd1_3580-RA","1","429","142"
"cgd1_3583","cgd1_3583-RA","1","821","62"
"cgd1_3590","cgd1_3590-RA","1","1338","445"
"cgd1_360","cgd1_360-RA","1","2511","836"
"cgd1_3600","cgd1_3600-RA","4","2254","715"
"cgd1_3610","cgd1_3610-RA","1","2808","935"
"cgd1_3620","cgd1_3620-RA","1","1107","368"
"cgd1_3630","cgd1_3630-RA","1","2238","745"
"cgd1_3640","cgd1_3640-RA","1","1569","522"
"cgd1_3650","cgd1_3650-RA","1","1059","352"
"cgd1_3660","cgd1_3660-RA","1","618","205"
"cgd1_3670","cgd1_3670-RA","1","6618","2055"
"cgd1_3680","cgd1_3680-RA","1","1613","263"
"cgd1_3690","cgd1_3690-RA","1","3078","792"
"cgd1_370","cgd1_370-RA","1","2244","747"
"cgd1_3700","cgd1_3700-RA","1","1362","453"
"cgd1_3710","cgd1_3710-RA","1","2088","695"
"cgd1_3720","cgd1_3720-RA","2","1263","382"
"cgd1_3730","cgd1_3730-RA","1","2091","696"
"cgd1_3740","cgd1_3740-RA","1","4224","1407"
"cgd1_3750","cgd1_3750-RA","1","861","244"
"cgd1_3760","cgd1_3760-RA","1","3480","1159"
"cgd1_3770","cgd1_3770-RA","4","531","176"
"cgd1_3780","cgd1_3780-RA","1","2445","814"
"cgd1_3790","cgd1_3790-RA","1","3819","1272"
"cgd1_380","cgd1_380-RA","2","1360","305"
"cgd1_3800","cgd1_3800-RA","1","573","190"
"cgd1_3810","cgd1_3810-RA","1","2739","912"
"cgd1_3820","cgd1_3820-RA","1","2988","995"
"cgd1_3830","cgd1_3830-RA","1","604","103"
"cgd1_3840","cgd1_3840-RA","1","3224","1031"
"cgd1_3850","cgd1_3850-RA","1","2775","924"
"cgd1_3860","cgd1_3860-RA","1","1292","94"
"cgd1_390","cgd1_390-RA","1","997","270"
"cgd1_40","cgd1_40-RA","1","1152","337"
"cgd1_400","cgd1_400-RA","1","2187","728"
"cgd1_410","cgd1_410-RA","2","527","165"
"cgd1_420","cgd1_420-RA","3","628","148"
"cgd1_430","cgd1_430-RA","3","617","198"
"cgd1_440","cgd1_440-RA","4","692","181"
"cgd1_450","cgd1_450-RA","1","2006","588"
"cgd1_460","cgd1_460-RA","1","2015","604"
"cgd1_470","cgd1_470-RA","1","2799","932"
"cgd1_480","cgd1_480-RA","1","498","165"
"cgd1_490","cgd1_490-RA","1","393","130"
"cgd1_493","cgd1_493-RA","4","456","151"
"cgd1_5","cgd1_5-RA","1","698","N/A"
"cgd1_50","cgd1_50-RA","1","3140","956"
"cgd1_500","cgd1_500-RA","1","1477","446"
"cgd1_510","cgd1_510-RA","1","1906","594"
"cgd1_520","cgd1_520-RA","1","1422","165"
"cgd1_530","cgd1_530-RA","2","530","60"
"cgd1_540","cgd1_540-RA","1","711","165"
"cgd1_543","cgd1_543-RA","4","495","107"
"cgd1_550","cgd1_550-RA","1","8988","2995"
"cgd1_560","cgd1_560-RA","4","1357","389"
"cgd1_570","cgd1_570-RA","1","705","234"
"cgd1_580","cgd1_580-RA","2","2787","817"
"cgd1_590","cgd1_590-RA","1","7584","2527"
"cgd1_60","cgd1_60-RA","1","903","300"
"cgd1_600","cgd1_600-RA","1","1555","274"
"cgd1_610","cgd1_610-RA","2","708","235"
"cgd1_620","cgd1_620-RA","1","1317","438"
"cgd1_630","cgd1_630-RA","1","930","309"
"cgd1_640","cgd1_640-RA","2","4369","1272"
"cgd1_645","cgd1_645-RA","1","81","N/A"
"cgd1_650","cgd1_650-RA","1","3822","1273"
"cgd1_660","cgd1_660-RA","1","1017","338"
"cgd1_670","cgd1_670-RA","1","3531","1176"
"cgd1_680","cgd1_680-RA","2","1549","450"
"cgd1_690","cgd1_690-RA","3","1252","357"
"cgd1_70","cgd1_70-RA","1","357","118"
"cgd1_700","cgd1_700-RA","1","4296","1431"
"cgd1_710","cgd1_710-RA","1","3581","1171"
"cgd1_720","cgd1_720-RA","1","636","211"
"cgd1_730","cgd1_730-RA","1","1066","341"
"cgd1_733","cgd1_733-RA","4","569","159"
"cgd1_740","cgd1_740-RA","3","846","282"
"cgd1_750","cgd1_750-RA","1","15741","5246"
"cgd1_760","cgd1_760-RA","1","2786","779"
"cgd1_770","cgd1_770-RA","1","1614","494"
"cgd1_780","cgd1_780-RA","1","844","215"
"cgd1_790","cgd1_790-RA","1","4197","1398"
"cgd1_80","cgd1_80-RA","1","444","147"
"cgd1_800","cgd1_800-RA","1","1974","657"
"cgd1_810","cgd1_810-RA","1","1803","600"
"cgd1_820","cgd1_820-RA","1","2510","764"
"cgd1_830","cgd1_830-RA","1","3140","994"
"cgd1_840","cgd1_840-RA","4","634","201"
"cgd1_843","cgd1_843-RA","3","254","79"
"cgd1_850","cgd1_850-RA","1","465","150"
"cgd1_860","cgd1_860-RA","2","222","73"
"cgd1_870","cgd1_870-RA","1","633","210"
"cgd1_880","cgd1_880-RA","1","1218","405"
"cgd1_890","cgd1_890-RA","1","4269","1332"
"cgd1_90","cgd1_90-RA","1","2274","757"
"cgd1_900","cgd1_900-RA","1","318","105"
"cgd1_905","cgd1_905-RA","1","74","N/A"
"cgd1_910","cgd1_910-RA","1","1046","191"
"cgd1_920","cgd1_920-RA","1","1716","399"
"cgd1_930","cgd1_930-RA","1","900","299"
"cgd1_940","cgd1_940-RA","1","540","179"
"cgd1_950","cgd1_950-RA","1","1446","481"
"cgd1_960","cgd1_960-RA","1","1458","485"
"cgd1_970","cgd1_970-RA","1","2502","833"
"cgd1_980","cgd1_980-RA","1","2625","618"
"cgd1_990","cgd1_990-RA","1","3444","1147"
"cgd2_10","cgd2_10-RA","1","1338","445"
"cgd2_100","cgd2_100-RA","1","1239","240"
"cgd2_1000","cgd2_1000-RA","1","1920","639"
"cgd2_1010","cgd2_1010-RA","1","1761","586"
"cgd2_1020","cgd2_1020-RA","1","1293","430"
"cgd2_1030","cgd2_1030-RA","1","945","314"
"cgd2_1040","cgd2_1040-RA","1","576","191"
"cgd2_1050","cgd2_1050-RA","1","1044","347"
"cgd2_1060","cgd2_1060-RA","1","2157","718"
"cgd2_1070","cgd2_1070-RA","1","321","106"
"cgd2_1080","cgd2_1080-RA","1","1755","584"
"cgd2_1090","cgd2_1090-RA","1","1518","505"
"cgd2_110","cgd2_110-RA","2","1721","536"
"cgd2_1100","cgd2_1100-RA","1","2913","970"
"cgd2_1110","cgd2_1110-RA","2","1513","481"
"cgd2_1120","cgd2_1120-RA","1","1488","495"
"cgd2_1130","cgd2_1130-RA","1","2046","681"
"cgd2_1140","cgd2_1140-RA","1","969","322"
"cgd2_1150","cgd2_1150-RA","1","1008","335"
"cgd2_1160","cgd2_1160-RA","1","2022","673"
"cgd2_1170","cgd2_1170-RA","2","1428","475"
"cgd2_1190","cgd2_1190-RA","1","1863","620"
"cgd2_120","cgd2_120-RA","2","368","67"
"cgd2_1200","cgd2_1200-RA","1","930","309"
"cgd2_1210","cgd2_1210-RA","1","765","254"
"cgd2_1220","cgd2_1220-RA","1","1716","571"
"cgd2_1230","cgd2_1230-RA","1","2253","750"
"cgd2_1240","cgd2_1240-RA","1","1302","425"
"cgd2_1250","cgd2_1250-RA","1","2691","894"
"cgd2_1260","cgd2_1260-RA","1","2436","811"
"cgd2_1270","cgd2_1270-RA","1","2487","828"
"cgd2_1280","cgd2_1280-RA","1","2058","685"
"cgd2_1290","cgd2_1290-RA","1","1269","422"
"cgd2_130","cgd2_130-RA","1","339","112"
"cgd2_1300","cgd2_1300-RA","1","2034","677"
"cgd2_1310","cgd2_1310-RA","1","1449","482"
"cgd2_1330","cgd2_1330-RA","2","1374","432"
"cgd2_1340","cgd2_1340-RA","1","2037","678"
"cgd2_1350","cgd2_1350-RA","1","1386","425"
"cgd2_1360","cgd2_1360-RA","2","1623","540"
"cgd2_1365","cgd2_1365-RA","1","80","N/A"
"cgd2_1370","cgd2_1370-RA","1","2634","877"
"cgd2_1372","cgd2_1372-RA","1","1757","N/A"
"cgd2_1373","cgd2_1373-RA","1","7300","N/A"
"cgd2_1375","cgd2_1375-RA","1","1758","N/A"
"cgd2_1376","cgd2_1376-RA","1","152","N/A"
"cgd2_1377","cgd2_1377-RA","1","3459","N/A"
"cgd2_1380","cgd2_1380-RA","1","885","294"
"cgd2_1390","cgd2_1390-RA","1","591","196"
"cgd2_1400","cgd2_1400-RA","1","1842","613"
"cgd2_1410","cgd2_1410-RA","1","429","142"
"cgd2_1420","cgd2_1420-RA","2","1470","489"
"cgd2_1430","cgd2_1430-RA","1","1383","460"
"cgd2_1440","cgd2_1440-RA","1","771","244"
"cgd2_1450","cgd2_1450-RA","1","1725","574"
"cgd2_1460","cgd2_1460-RA","1","2012","637"
"cgd2_1470","cgd2_1470-RA","1","567","188"
"cgd2_1480","cgd2_1480-RA","1","1317","438"
"cgd2_1490","cgd2_1490-RA","1","1002","333"
"cgd2_150","cgd2_150-RA","1","1255","324"
"cgd2_1500","cgd2_1500-RA","1","1623","540"
"cgd2_1510","cgd2_1510-RA","1","2418","805"
"cgd2_1520","cgd2_1520-RA","1","1779","592"
"cgd2_1530","cgd2_1530-RA","1","1212","403"
"cgd2_1540","cgd2_1540-RA","1","456","151"
"cgd2_1550","cgd2_1550-RA","1","1488","432"
"cgd2_1560","cgd2_1560-RA","1","1599","532"
"cgd2_1570","cgd2_1570-RA","1","921","306"
"cgd2_1580","cgd2_1580-RA","1","366","121"
"cgd2_1590","cgd2_1590-RA","1","1968","614"
"cgd2_160","cgd2_160-RA","1","1382","359"
"cgd2_1600","cgd2_1600-RA","1","2589","862"
"cgd2_1610","cgd2_1610-RA","1","1551","516"
"cgd2_1620","cgd2_1620-RA","1","759","252"
"cgd2_1630","cgd2_1630-RA","4","620","204"
"cgd2_1640","cgd2_1640-RA","1","2367","788"
"cgd2_1650","cgd2_1650-RA","1","1407","468"
"cgd2_1660","cgd2_1660-RA","1","510","169"
"cgd2_1670","cgd2_1670-RA","1","354","117"
"cgd2_1680","cgd2_1680-RA","1","1076","336"
"cgd2_1690","cgd2_1690-RA","1","303","99"
"cgd2_170","cgd2_170-RA","1","470","131"
"cgd2_1700","cgd2_1700-RA","1","519","167"
"cgd2_1710","cgd2_1710-RA","1","3504","1167"
"cgd2_1713","cgd2_1713-RA","2","591","170"
"cgd2_1720","cgd2_1720-RA","1","1800","599"
