"Gene ID","Sequence Level","Is Top Level","Genomic Sequence","lc_project_id","Location","organismAbbrev","start","end","is_reversed","start_context","end_context"
"cgd1_1360","chromosome","1","CM000429","cryptodb","328652 - 329197 (-)","cparIowaII","328652","329197","-","323652","334197"
"cgd1_1370","chromosome","1","CM000429","cryptodb","329808 - 330436 (-)","cparIowaII","329808","330436","-","324808","335436"
"cgd1_1380","chromosome","1","CM000429","cryptodb","330735 - 331775 (-)","cparIowaII","330735","331775","-","325735","336775"
"cgd1_1390","chromosome","1","CM000429","cryptodb","332277 - 333668 (+)","cparIowaII","332277","333668","+","327277","338668"
"cgd1_140","chromosome","1","CM000429","cryptodb","32681 - 36402 (+)","cparIowaII","32681","36402","+","27681","41402"
"cgd1_1400","chromosome","1","CM000429","cryptodb","333700 - 336588 (-)","cparIowaII","333700","336588","-","328700","341588"
"cgd1_1410","chromosome","1","CM000429","cryptodb","336844 - 337983 (+)","cparIowaII","336844","337983","+","331844","342983"
"cgd1_1420","chromosome","1","CM000429","cryptodb","338229 - 339770 (-)","cparIowaII","338229","339770","-","333229","344770"
"cgd1_1433","chromosome","1","CM000429","cryptodb","340292 - 341640 (+)","cparIowaII","340292","341640","+","335292","346640"
"cgd1_1450","chromosome","1","CM000429","cryptodb","341767 - 344124 (-)","cparIowaII","341767","344124","-","336767","349124"
"cgd1_1460","chromosome","1","CM000429","cryptodb","344678 - 347830 (+)","cparIowaII","344678","347830","+","339678","352830"
"cgd1_1470","chromosome","1","CM000429","cryptodb","347962 - 349959 (+)","cparIowaII","347962","349959","+","342962","354959"
"cgd1_1480","chromosome","1","CM000429","cryptodb","350112 - 350795 (-)","cparIowaII","350112","350795","-","345112","355795"
"cgd1_1490","chromosome","1","CM000429","cryptodb","351287 - 352954 (-)","cparIowaII","351287","352954","-","346287","357954"
"cgd1_150","chromosome","1","CM000429","cryptodb","39429 - 42553 (+)","cparIowaII","39429","42553","+","34429","47553"
"cgd1_1500","chromosome","1","CM000429","cryptodb","353203 - 354157 (+)","cparIowaII","353203","354157","+","348203","359157"
"cgd1_1510","chromosome","1","CM000429","cryptodb","354224 - 355057 (-)","cparIowaII","354224","355057","-","349224","360057"
"cgd1_1520","chromosome","1","CM000429","cryptodb","355626 - 364652 (+)","cparIowaII","355626","364652","+","350626","369652"
"cgd1_1530","chromosome","1","CM000429","cryptodb","364748 - 366427 (-)","cparIowaII","364748","366427","-","359748","371427"
"cgd1_1540","chromosome","1","CM000429","cryptodb","366900 - 368933 (-)","cparIowaII","366900","368933","-","361900","373933"
"cgd1_1550","chromosome","1","CM000429","cryptodb","369535 - 371481 (+)","cparIowaII","369535","371481","+","364535","376481"
"cgd1_1560","chromosome","1","CM000429","cryptodb","371642 - 372829 (-)","cparIowaII","371642","372829","-","366642","377829"
"cgd1_1570","chromosome","1","CM000429","cryptodb","373207 - 374955 (+)","cparIowaII","373207","374955","+","368207","379955"
"cgd1_1580","chromosome","1","CM000429","cryptodb","375101 - 377908 (-)","cparIowaII","375101","377908","-","370101","382908"
"cgd1_1590","chromosome","1","CM000429","cryptodb","378790 - 379368 (+)","cparIowaII","378790","379368","+","373790","384368"
"cgd1_160","chromosome","1","CM000429","cryptodb","42900 - 45885 (+)","cparIowaII","42900","45885","+","37900","50885"
"cgd1_1600","chromosome","1","CM000429","cryptodb","379717 - 380109 (+)","cparIowaII","379717","380109","+","374717","385109"
"cgd1_1610","chromosome","1","CM000429","cryptodb","380290 - 381687 (+)","cparIowaII","380290","381687","+","375290","386687"
"cgd1_1620","chromosome","1","CM000429","cryptodb","381629 - 382838 (-)","cparIowaII","381629","382838","-","376629","387838"
"cgd1_1625","chromosome","1","CM000429","cryptodb","382785 - 382857 (-)","cparIowaII","382785","382857","-","377785","387857"
"cgd1_1630","chromosome","1","CM000429","cryptodb","382952 - 383879 (-)","cparIowaII","382952","383879","-","377952","388879"
"cgd1_1640","chromosome","1","CM000429","cryptodb","384278 - 393271 (+)","cparIowaII","384278","393271","+","379278","398271"
"cgd1_1650","chromosome","1","CM000429","cryptodb","393387 - 393788 (+)","cparIowaII","393387","393788","+","388387","398788"
"cgd1_1660","chromosome","1","CM000429","cryptodb","394340 - 394663 (-)","cparIowaII","394340","394663","-","389340","399663"
"cgd1_1670","chromosome","1","CM000429","cryptodb","395022 - 396407 (+)","cparIowaII","395022","396407","+","390022","401407"
"cgd1_1680","chromosome","1","CM000429","cryptodb","396525 - 399626 (-)","cparIowaII","396525","399626","-","391525","404626"
"cgd1_1690","chromosome","1","CM000429","cryptodb","399844 - 401826 (-)","cparIowaII","399844","401826","-","394844","406826"
"cgd1_170","chromosome","1","CM000429","cryptodb","49637 - 50494 (+)","cparIowaII","49637","50494","+","44637","55494"
"cgd1_1700","chromosome","1","CM000429","cryptodb","402221 - 404708 (-)","cparIowaII","402221","404708","-","397221","409708"
"cgd1_1710","chromosome","1","CM000429","cryptodb","404762 - 406109 (-)","cparIowaII","404762","406109","-","399762","411109"
"cgd1_1720","chromosome","1","CM000429","cryptodb","406233 - 411659 (+)","cparIowaII","406233","411659","+","401233","416659"
"cgd1_1730","chromosome","1","CM000429","cryptodb","411652 - 412896 (-)","cparIowaII","411652","412896","-","406652","417896"
"cgd1_1740","chromosome","1","CM000429","cryptodb","412989 - 413818 (-)","cparIowaII","412989","413818","-","407989","418818"
"cgd1_1750","chromosome","1","CM000429","cryptodb","413981 - 415519 (+)","cparIowaII","413981","415519","+","408981","420519"
"cgd1_1760","chromosome","1","CM000429","cryptodb","415455 - 416650 (-)","cparIowaII","415455","416650","-","410455","421650"
"cgd1_1770","chromosome","1","CM000429","cryptodb","416827 - 417290 (-)","cparIowaII","416827","417290","-","411827","422290"
"cgd1_1780","chromosome","1","CM000429","cryptodb","417317 - 418699 (-)","cparIowaII","417317","418699","-","412317","423699"
"cgd1_1790","chromosome","1","CM000429","cryptodb","419448 - 421430 (-)","cparIowaII","419448","421430","-","414448","426430"
"cgd1_180","chromosome","1","CM000429","cryptodb","50964 - 52550 (+)","cparIowaII","50964","52550","+","45964","57550"
"cgd1_1800","chromosome","1","CM000429","cryptodb","421560 - 423041 (-)","cparIowaII","421560","423041","-","416560","428041"
"cgd1_1810","chromosome","1","CM000429","cryptodb","423248 - 425269 (+)","cparIowaII","423248","425269","+","418248","430269"
"cgd1_1820","chromosome","1","CM000429","cryptodb","425305 - 425883 (-)","cparIowaII","425305","425883","-","420305","430883"
"cgd1_1830","chromosome","1","CM000429","cryptodb","427054 - 427671 (+)","cparIowaII","427054","427671","+","422054","432671"
"cgd1_1840","chromosome","1","CM000429","cryptodb","428008 - 430806 (+)","cparIowaII","428008","430806","+","423008","435806"
"cgd1_1850","chromosome","1","CM000429","cryptodb","430822 - 431271 (-)","cparIowaII","430822","431271","-","425822","436271"
"cgd1_1860","chromosome","1","CM000429","cryptodb","431453 - 432583 (+)","cparIowaII","431453","432583","+","426453","437583"
"cgd1_1870","chromosome","1","CM000429","cryptodb","432994 - 434454 (+)","cparIowaII","432994","434454","+","427994","439454"
"cgd1_1880","chromosome","1","CM000429","cryptodb","434708 - 435319 (-)","cparIowaII","434708","435319","-","429708","440319"
"cgd1_1890","chromosome","1","CM000429","cryptodb","435507 - 436240 (+)","cparIowaII","435507","436240","+","430507","441240"
"cgd1_190","chromosome","1","CM000429","cryptodb","52816 - 54498 (+)","cparIowaII","52816","54498","+","47816","59498"
"cgd1_1900","chromosome","1","CM000429","cryptodb","436349 - 437147 (+)","cparIowaII","436349","437147","+","431349","442147"
"cgd1_1910","chromosome","1","CM000429","cryptodb","437337 - 438346 (+)","cparIowaII","437337","438346","+","432337","443346"
"cgd1_1920","chromosome","1","CM000429","cryptodb","438483 - 452391 (+)","cparIowaII","438483","452391","+","433483","457391"
"cgd1_1930","chromosome","1","CM000429","cryptodb","452503 - 454030 (+)","cparIowaII","452503","454030","+","447503","459030"
"cgd1_1940","chromosome","1","CM000429","cryptodb","454102 - 454659 (+)","cparIowaII","454102","454659","+","449102","459659"
"cgd1_1950","chromosome","1","CM000429","cryptodb","454724 - 455965 (-)","cparIowaII","454724","455965","-","449724","460965"
"cgd1_1960","chromosome","1","CM000429","cryptodb","456062 - 456691 (-)","cparIowaII","456062","456691","-","451062","461691"
"cgd1_1970","chromosome","1","CM000429","cryptodb","456945 - 457853 (-)","cparIowaII","456945","457853","-","451945","462853"
"cgd1_1980","chromosome","1","CM000429","cryptodb","458429 - 459922 (+)","cparIowaII","458429","459922","+","453429","464922"
"cgd1_1990","chromosome","1","CM000429","cryptodb","460041 - 461017 (+)","cparIowaII","460041","461017","+","455041","466017"
"cgd1_20","chromosome","1","CM000429","cryptodb","5188 - 6651 (-)","cparIowaII","5188","6651","-","188","11651"
"cgd1_200","chromosome","1","CM000429","cryptodb","54728 - 55322 (+)","cparIowaII","54728","55322","+","49728","60322"
"cgd1_2000","chromosome","1","CM000429","cryptodb","461235 - 463328 (+)","cparIowaII","461235","463328","+","456235","468328"
"cgd1_2010","chromosome","1","CM000429","cryptodb","463385 - 465283 (-)","cparIowaII","463385","465283","-","458385","470283"
"cgd1_2020","chromosome","1","CM000429","cryptodb","465673 - 466293 (-)","cparIowaII","465673","466293","-","460673","471293"
"cgd1_203","chromosome","1","CM000429","cryptodb","55433 - 55963 (-)","cparIowaII","55433","55963","-","50433","60963"
"cgd1_2030","chromosome","1","CM000429","cryptodb","466575 - 468131 (-)","cparIowaII","466575","468131","-","461575","473131"
"cgd1_2040","chromosome","1","CM000429","cryptodb","468380 - 469978 (-)","cparIowaII","468380","469978","-","463380","474978"
"cgd1_2050","chromosome","1","CM000429","cryptodb","470675 - 471475 (-)","cparIowaII","470675","471475","-","465675","476475"
"cgd1_2060","chromosome","1","CM000429","cryptodb","471730 - 472387 (-)","cparIowaII","471730","472387","-","466730","477387"
"cgd1_2070","chromosome","1","CM000429","cryptodb","472950 - 474449 (+)","cparIowaII","472950","474449","+","467950","479449"
"cgd1_2080","chromosome","1","CM000429","cryptodb","474501 - 475193 (-)","cparIowaII","474501","475193","-","469501","480193"
"cgd1_2090","chromosome","1","CM000429","cryptodb","475337 - 476449 (-)","cparIowaII","475337","476449","-","470337","481449"
"cgd1_210","chromosome","1","CM000429","cryptodb","56167 - 56781 (+)","cparIowaII","56167","56781","+","51167","61781"
"cgd1_2100","chromosome","1","CM000429","cryptodb","476885 - 478391 (-)","cparIowaII","476885","478391","-","471885","483391"
"cgd1_2110","chromosome","1","CM000429","cryptodb","478877 - 483550 (+)","cparIowaII","478877","483550","+","473877","488550"
"cgd1_2120","chromosome","1","CM000429","cryptodb","483770 - 486559 (+)","cparIowaII","483770","486559","+","478770","491559"
"cgd1_2130","chromosome","1","CM000429","cryptodb","486595 - 488517 (-)","cparIowaII","486595","488517","-","481595","493517"
"cgd1_2140","chromosome","1","CM000429","cryptodb","488649 - 489494 (-)","cparIowaII","488649","489494","-","483649","494494"
"cgd1_2150","chromosome","1","CM000429","cryptodb","489591 - 491660 (-)","cparIowaII","489591","491660","-","484591","496660"
"cgd1_2160","chromosome","1","CM000429","cryptodb","491736 - 493985 (-)","cparIowaII","491736","493985","-","486736","498985"
"cgd1_2170","chromosome","1","CM000429","cryptodb","494029 - 495242 (-)","cparIowaII","494029","495242","-","489029","500242"
"cgd1_2180","chromosome","1","CM000429","cryptodb","495337 - 497118 (+)","cparIowaII","495337","497118","+","490337","502118"
"cgd1_2190","chromosome","1","CM000429","cryptodb","497257 - 500190 (+)","cparIowaII","497257","500190","+","492257","505190"
"cgd1_220","chromosome","1","CM000429","cryptodb","56680 - 57960 (-)","cparIowaII","56680","57960","-","51680","62960"
"cgd1_2200","chromosome","1","CM000429","cryptodb","500382 - 501755 (+)","cparIowaII","500382","501755","+","495382","506755"
"cgd1_2210","chromosome","1","CM000429","cryptodb","501808 - 502167 (-)","cparIowaII","501808","502167","-","496808","507167"
"cgd1_2220","chromosome","1","CM000429","cryptodb","502406 - 503047 (+)","cparIowaII","502406","503047","+","497406","508047"
"cgd1_2230","chromosome","1","CM000429","cryptodb","503066 - 504262 (-)","cparIowaII","503066","504262","-","498066","509262"
"cgd1_2240","chromosome","1","CM000429","cryptodb","504779 - 506056 (+)","cparIowaII","504779","506056","+","499779","511056"
"cgd1_2250","chromosome","1","CM000429","cryptodb","506132 - 506563 (-)","cparIowaII","506132","506563","-","501132","511563"
"cgd1_2260","chromosome","1","CM000429","cryptodb","506610 - 507044 (+)","cparIowaII","506610","507044","+","501610","512044"
"cgd1_2270","chromosome","1","CM000429","cryptodb","507293 - 507616 (-)","cparIowaII","507293","507616","-","502293","512616"
"cgd1_2280","chromosome","1","CM000429","cryptodb","507887 - 508444 (-)","cparIowaII","507887","508444","-","502887","513444"
"cgd1_2290","chromosome","1","CM000429","cryptodb","508802 - 510844 (+)","cparIowaII","508802","510844","+","503802","515844"
"cgd1_2293","chromosome","1","CM000429","cryptodb","510967 - 511247 (+)","cparIowaII","510967","511247","+","505967","516247"
"cgd1_230","chromosome","1","CM000429","cryptodb","58180 - 59604 (+)","cparIowaII","58180","59604","+","53180","64604"
"cgd1_2300","chromosome","1","CM000429","cryptodb","511639 - 516339 (+)","cparIowaII","511639","516339","+","506639","521339"
"cgd1_2310","chromosome","1","CM000429","cryptodb","516501 - 517043 (+)","cparIowaII","516501","517043","+","511501","522043"
"cgd1_2313","chromosome","1","CM000429","cryptodb","517055 - 517395 (+)","cparIowaII","517055","517395","+","512055","522395"
"cgd1_2320","chromosome","1","CM000429","cryptodb","517500 - 518822 (-)","cparIowaII","517500","518822","-","512500","523822"
"cgd1_2330","chromosome","1","CM000429","cryptodb","520006 - 520848 (+)","cparIowaII","520006","520848","+","515006","525848"
"cgd1_2340","chromosome","1","CM000429","cryptodb","521084 - 521629 (+)","cparIowaII","521084","521629","+","516084","526629"
"cgd1_2350","chromosome","1","CM000429","cryptodb","522105 - 523784 (-)","cparIowaII","522105","523784","-","517105","528784"
"cgd1_2360","chromosome","1","CM000429","cryptodb","524153 - 525067 (+)","cparIowaII","524153","525067","+","519153","530067"
"cgd1_2370","chromosome","1","CM000429","cryptodb","525161 - 526150 (-)","cparIowaII","525161","526150","-","520161","531150"
"cgd1_2380","chromosome","1","CM000429","cryptodb","526551 - 528239 (+)","cparIowaII","526551","528239","+","521551","533239"
"cgd1_2390","chromosome","1","CM000429","cryptodb","528904 - 529563 (+)","cparIowaII","528904","529563","+","523904","534563"
"cgd1_240","chromosome","1","CM000429","cryptodb","59663 - 60727 (-)","cparIowaII","59663","60727","-","54663","65727"
"cgd1_2400","chromosome","1","CM000429","cryptodb","530055 - 531050 (+)","cparIowaII","530055","531050","+","525055","536050"
"cgd1_2403","chromosome","1","CM000429","cryptodb","531205 - 531758 (+)","cparIowaII","531205","531758","+","526205","536758"
"cgd1_2410","chromosome","1","CM000429","cryptodb","531909 - 535231 (+)","cparIowaII","531909","535231","+","526909","540231"
"cgd1_2420","chromosome","1","CM000429","cryptodb","535340 - 536512 (+)","cparIowaII","535340","536512","+","530340","541512"
"cgd1_2430","chromosome","1","CM000429","cryptodb","536725 - 537660 (+)","cparIowaII","536725","537660","+","531725","542660"
"cgd1_2440","chromosome","1","CM000429","cryptodb","538076 - 539461 (+)","cparIowaII","538076","539461","+","533076","544461"
"cgd1_2450","chromosome","1","CM000429","cryptodb","539488 - 542235 (-)","cparIowaII","539488","542235","-","534488","547235"
"cgd1_2460","chromosome","1","CM000429","cryptodb","543294 - 543866 (+)","cparIowaII","543294","543866","+","538294","548866"
"cgd1_2470","chromosome","1","CM000429","cryptodb","544192 - 545142 (-)","cparIowaII","544192","545142","-","539192","550142"
"cgd1_2480","chromosome","1","CM000429","cryptodb","545389 - 546795 (+)","cparIowaII","545389","546795","+","540389","551795"
"cgd1_2490","chromosome","1","CM000429","cryptodb","546852 - 547902 (+)","cparIowaII","546852","547902","+","541852","552902"
"cgd1_250","chromosome","1","CM000429","cryptodb","60920 - 62553 (-)","cparIowaII","60920","62553","-","55920","67553"
"cgd1_2500","chromosome","1","CM000429","cryptodb","548148 - 550046 (+)","cparIowaII","548148","550046","+","543148","555046"
"cgd1_2510","chromosome","1","CM000429","cryptodb","550092 - 550970 (-)","cparIowaII","550092","550970","-","545092","555970"
"cgd1_2520","chromosome","1","CM000429","cryptodb","551729 - 552049 (-)","cparIowaII","551729","552049","-","546729","557049"
"cgd1_2530","chromosome","1","CM000429","cryptodb","552648 - 556544 (+)","cparIowaII","552648","556544","+","547648","561544"
"cgd1_2540","chromosome","1","CM000429","cryptodb","556748 - 560314 (+)","cparIowaII","556748","560314","+","551748","565314"
"cgd1_2550","chromosome","1","CM000429","cryptodb","560448 - 560984 (+)","cparIowaII","560448","560984","+","555448","565984"
"cgd1_2560","chromosome","1","CM000429","cryptodb","561198 - 562127 (+)","cparIowaII","561198","562127","+","556198","567127"
"cgd1_2570","chromosome","1","CM000429","cryptodb","563744 - 568090 (+)","cparIowaII","563744","568090","+","558744","573090"
"cgd1_2580","chromosome","1","CM000429","cryptodb","568287 - 569030 (+)","cparIowaII","568287","569030","+","563287","574030"
"cgd1_2590","chromosome","1","CM000429","cryptodb","569050 - 569820 (-)","cparIowaII","569050","569820","-","564050","574820"
"cgd1_260","chromosome","1","CM000429","cryptodb","62769 - 64154 (-)","cparIowaII","62769","64154","-","57769","69154"
"cgd1_2600","chromosome","1","CM000429","cryptodb","570077 - 572338 (+)","cparIowaII","570077","572338","+","565077","577338"
"cgd1_2610","chromosome","1","CM000429","cryptodb","572516 - 578779 (+)","cparIowaII","572516","578779","+","567516","583779"
"cgd1_2620","chromosome","1","CM000429","cryptodb","577426 - 580460 (-)","cparIowaII","577426","580460","-","572426","585460"
"cgd1_2630","chromosome","1","CM000429","cryptodb","581046 - 582203 (+)","cparIowaII","581046","582203","+","576046","587203"
"cgd1_2635","chromosome","1","CM000429","cryptodb","582312 - 582384 (-)","cparIowaII","582312","582384","-","577312","587384"
"cgd1_2640","chromosome","1","CM000429","cryptodb","582439 - 582792 (-)","cparIowaII","582439","582792","-","577439","587792"
"cgd1_2650","chromosome","1","CM000429","cryptodb","583072 - 585675 (+)","cparIowaII","583072","585675","+","578072","590675"
"cgd1_2660","chromosome","1","CM000429","cryptodb","585729 - 586991 (+)","cparIowaII","585729","586991","+","580729","591991"
"cgd1_2663","chromosome","1","CM000429","cryptodb","586477 - 587099 (+)","cparIowaII","586477","587099","+","581477","592099"
"cgd1_2670","chromosome","1","CM000429","cryptodb","587155 - 588666 (-)","cparIowaII","587155","588666","-","582155","593666"
"cgd1_2680","chromosome","1","CM000429","cryptodb","588932 - 589860 (+)","cparIowaII","588932","589860","+","583932","594860"
"cgd1_2690","chromosome","1","CM000429","cryptodb","589981 - 590184 (-)","cparIowaII","589981","590184","-","584981","595184"
"cgd1_270","chromosome","1","CM000429","cryptodb","64565 - 65073 (+)","cparIowaII","64565","65073","+","59565","70073"
"cgd1_2700","chromosome","1","CM000429","cryptodb","590496 - 591719 (+)","cparIowaII","590496","591719","+","585496","596719"
"cgd1_2710","chromosome","1","CM000429","cryptodb","592004 - 593071 (+)","cparIowaII","592004","593071","+","587004","598071"
"cgd1_2720","chromosome","1","CM000429","cryptodb","593286 - 595568 (-)","cparIowaII","593286","595568","-","588286","600568"
"cgd1_2730","chromosome","1","CM000429","cryptodb","596450 - 598531 (-)","cparIowaII","596450","598531","-","591450","603531"
"cgd1_2740","chromosome","1","CM000429","cryptodb","599021 - 601606 (+)","cparIowaII","599021","601606","+","594021","606606"
"cgd1_2750","chromosome","1","CM000429","cryptodb","601792 - 603687 (+)","cparIowaII","601792","603687","+","596792","608687"
"cgd1_2760","chromosome","1","CM000429","cryptodb","603771 - 604967 (-)","cparIowaII","603771","604967","-","598771","609967"
"cgd1_2770","chromosome","1","CM000429","cryptodb","605276 - 609121 (-)","cparIowaII","605276","609121","-","600276","614121"
"cgd1_2780","chromosome","1","CM000429","cryptodb","609331 - 610491 (+)","cparIowaII","609331","610491","+","604331","615491"
"cgd1_2783","chromosome","1","CM000429","cryptodb","610524 - 611306 (-)","cparIowaII","610524","611306","-","605524","616306"
"cgd1_2790","chromosome","1","CM000429","cryptodb","611322 - 611919 (+)","cparIowaII","611322","611919","+","606322","616919"
"cgd1_280","chromosome","1","CM000429","cryptodb","65365 - 66468 (-)","cparIowaII","65365","66468","-","60365","71468"
