chr;start;end;color
chr1;172236;175816;2
chr1;176203;176838;2
chr1;176974;178039;2
chr1;178279;179059;1
chr1;179675;180676;2
chr1;181234;196974;2
chr1;197197;199982;2
chr1;200157;201770;2
chr1;202686;203529;1
chr1;204334;208530;1
chr1;18285;18728;1
chr1;209499;211472;2
chr1;211621;213423;2
chr1;214507;217016;2
chr1;217149;220288;2
chr1;220545;221481;2
chr1;221731;222198;1
chr1;222968;223432;2
chr1;223958;224317;2
chr1;224573;225205;2
chr1;226056;227273;2
chr1;227978;232246;2
chr1;18868;21141;2
chr1;232372;232689;1
chr1;233159;233232;1
chr1;233984;235029;2
chr1;235349;237064;2
chr1;237710;238609;2
chr1;238862;239401;1
chr1;240448;241893;2
chr1;242137;243594;2
chr1;245793;248294;2
chr1;248832;251456;2
chr1;252086;255529;2
