chr;start;end;gene
chr1;456945;457853;cgd1_1970
chr1;458429;459922;cgd1_1980
chr1;460041;461017;cgd1_1990
chr1;5188;6651;cgd1_20
chr1;54728;55322;cgd1_200
chr1;461235;463328;cgd1_2000
chr1;463385;465283;cgd1_2010
chr1;465673;466293;cgd1_2020
chr1;55433;55963;cgd1_203
chr1;466575;468131;cgd1_2030
chr1;468380;469978;cgd1_2040
chr1;470675;471475;cgd1_2050
chr1;471730;472387;cgd1_2060
chr1;472950;474449;cgd1_2070
chr1;474501;475193;cgd1_2080
chr1;475337;476449;cgd1_2090
chr1;56167;56781;cgd1_210
chr1;476885;478391;cgd1_2100
chr1;478877;483550;cgd1_2110
chr1;483770;486559;cgd1_2120
chr1;486595;488517;cgd1_2130
chr1;488649;489494;cgd1_2140
chr1;489591;491660;cgd1_2150
chr1;491736;493985;cgd1_2160
chr1;494029;495242;cgd1_2170
chr1;495337;497118;cgd1_2180
chr1;497257;500190;cgd1_2190
chr1;56680;57960;cgd1_220
chr1;500382;501755;cgd1_2200
chr1;501808;502167;cgd1_2210
chr1;502406;503047;cgd1_2220
chr1;503066;504262;cgd1_2230
chr1;504779;506056;cgd1_2240
chr1;506132;506563;cgd1_2250
chr1;506610;507044;cgd1_2260
chr1;507293;507616;cgd1_2270
chr1;507887;508444;cgd1_2280
chr1;508802;510844;cgd1_2290
chr1;510967;511247;cgd1_2293
chr1;58180;59604;cgd1_230
chr1;511639;516339;cgd1_2300
chr1;516501;517043;cgd1_2310
chr1;517055;517395;cgd1_2313
chr1;517500;518822;cgd1_2320
chr1;520006;520848;cgd1_2330
chr1;521084;521629;cgd1_2340
chr1;522105;523784;cgd1_2350
chr1;524153;525067;cgd1_2360
chr1;525161;526150;cgd1_2370
chr1;526551;528239;cgd1_2380
chr1;528904;529563;cgd1_2390
chr1;59663;60727;cgd1_240
chr1;530055;531050;cgd1_2400
chr1;531205;531758;cgd1_2403
chr1;531909;535231;cgd1_2410
chr1;535340;536512;cgd1_2420
chr1;536725;537660;cgd1_2430
chr1;538076;539461;cgd1_2440
chr1;539488;542235;cgd1_2450
chr1;543294;543866;cgd1_2460
chr1;544192;545142;cgd1_2470
chr1;545389;546795;cgd1_2480
chr1;546852;547902;cgd1_2490
chr1;60920;62553;cgd1_250
chr1;548148;550046;cgd1_2500
chr1;550092;550970;cgd1_2510
chr1;551729;552049;cgd1_2520
chr1;552648;556544;cgd1_2530
chr1;556748;560314;cgd1_2540
chr1;560448;560984;cgd1_2550
chr1;561198;562127;cgd1_2560
chr1;563744;568090;cgd1_2570
chr1;568287;569030;cgd1_2580
chr1;569050;569820;cgd1_2590
chr1;62769;64154;cgd1_260
chr1;570077;572338;cgd1_2600
chr1;572516;578779;cgd1_2610
chr1;577426;580460;cgd1_2620
chr1;581046;582203;cgd1_2630
chr1;582312;582384;cgd1_2635
chr1;582439;582792;cgd1_2640
chr1;583072;585675;cgd1_2650
chr1;585729;586991;cgd1_2660
chr1;586477;587099;cgd1_2663
chr1;587155;588666;cgd1_2670
chr1;588932;589860;cgd1_2680
chr1;589981;590184;cgd1_2690
chr1;64565;65073;cgd1_270
chr1;590496;591719;cgd1_2700
chr1;592004;593071;cgd1_2710
chr1;593286;595568;cgd1_2720
chr1;596450;598531;cgd1_2730
chr1;599021;601606;cgd1_2740
chr1;601792;603687;cgd1_2750
chr1;603771;604967;cgd1_2760
chr1;605276;609121;cgd1_2770
chr1;609331;610491;cgd1_2780
chr1;610524;611306;cgd1_2783
chr1;611322;611919;cgd1_2790
chr1;65365;66468;cgd1_280
chr1;612050;612571;cgd1_2800
chr1;612638;614398;cgd1_2810
chr1;614510;615617;cgd1_2830
chr1;615716;620286;cgd1_2840
chr1;620685;624152;cgd1_2850
chr1;624563;626172;cgd1_2860
chr1;626467;628545;cgd1_2870
chr1;628736;630669;cgd1_2880
chr1;630870;633815;cgd1_2890
chr1;66597;68096;cgd1_290
chr1;634151;635923;cgd1_2900
chr1;636010;636429;cgd1_2910
chr1;636773;637435;cgd1_2920
chr1;638267;639043;cgd1_2940
chr1;639164;640005;cgd1_2943
chr1;640214;641569;cgd1_2950
chr1;641710;644137;cgd1_2960
chr1;644643;645809;cgd1_2970
chr1;646081;646824;cgd1_2980
chr1;647242;647658;cgd1_2990
chr1;6974;11926;cgd1_30
chr1;68193;68615;cgd1_300
chr1;648187;648675;cgd1_3000
chr1;649237;650091;cgd1_3010
chr1;650743;651852;cgd1_3020
chr1;651970;654432;cgd1_3030
chr1;655188;656432;cgd1_3033
chr1;656413;657165;cgd1_3040
chr1;658046;659425;cgd1_3050
chr1;659470;660942;cgd1_3060
chr1;661070;672657;cgd1_3070
chr1;672731;673723;cgd1_3080
chr1;673771;674997;cgd1_3090
chr1;675260;675330;cgd1_3095
chr1;68873;69967;cgd1_310
chr1;675473;677652;cgd1_3100
chr1;677502;680039;cgd1_3110
chr1;680648;682896;cgd1_3120
chr1;683080;685158;cgd1_3130
chr1;685948;686565;cgd1_3140
chr1;687135;688118;cgd1_3150
chr1;689611;693969;cgd1_3160
chr1;694172;699031;cgd1_3170
chr1;699723;701093;cgd1_3180
chr1;701488;703877;cgd1_3190
chr1;70178;71950;cgd1_320
chr1;704139;705002;cgd1_3200
chr1;706289;709411;cgd1_3210
chr1;710029;712050;cgd1_3220
chr1;713631;716270;cgd1_3230
chr1;716477;726031;cgd1_3240
chr1;726527;727252;cgd1_3250
chr1;727655;728692;cgd1_3260
chr1;728994;731316;cgd1_3270
chr1;731680;732618;cgd1_3280
chr1;732786;735192;cgd1_3290
chr1;72883;75530;cgd1_330
chr1;736631;737521;cgd1_3300
chr1;738098;738781;cgd1_3310
chr1;739452;740306;cgd1_3320
chr1;741190;741820;cgd1_3330
chr1;741906;743389;cgd1_3340
chr1;743738;744332;cgd1_3343
chr1;744658;745176;cgd1_3350
chr1;745203;747194;cgd1_3360
chr1;747802;748437;cgd1_3370
chr1;748525;749413;cgd1_3380
chr1;750275;752158;cgd1_3390
chr1;76056;77538;cgd1_340
chr1;752378;753617;cgd1_3400
chr1;754173;754445;cgd1_3410
chr1;755245;757449;cgd1_3420
chr1;757497;757924;cgd1_3430
chr1;757931;759400;cgd1_3440
chr1;759624;761868;cgd1_3450
chr1;762073;763032;cgd1_3460
chr1;763730;764422;cgd1_3470
chr1;764430;766267;cgd1_3480
chr1;766844;767300;cgd1_3490
chr1;77948;80290;cgd1_350
chr1;768100;770594;cgd1_3500
chr1;770993;772753;cgd1_3510
chr1;773437;775107;cgd1_3520
chr1;776497;779176;cgd1_3530
chr1;779715;785534;cgd1_3540
chr1;786072;786694;cgd1_3543
chr1;788091;790868;cgd1_3550
chr1;792033;792413;cgd1_3560
chr1;793113;794372;cgd1_3570
chr1;796034;796462;cgd1_3580
chr1;796519;797339;cgd1_3583
chr1;797516;798853;cgd1_3590
chr1;81290;83800;cgd1_360
chr1;799450;801953;cgd1_3600
chr1;802160;804967;cgd1_3610
chr1;806176;807282;cgd1_3620
chr1;807664;809901;cgd1_3630
chr1;810344;811912;cgd1_3640
chr1;812674;813732;cgd1_3650
chr1;814034;814651;cgd1_3660
chr1;815338;821955;cgd1_3670
chr1;822452;824064;cgd1_3680
chr1;824333;827410;cgd1_3690
chr1;84017;86260;cgd1_370
chr1;828590;829951;cgd1_3700
chr1;830164;832251;cgd1_3710
chr1;833003;834387;cgd1_3720
chr1;834953;837043;cgd1_3730
chr1;837447;841670;cgd1_3740
chr1;841889;842749;cgd1_3750
chr1;842976;846455;cgd1_3760
chr1;846723;847413;cgd1_3770
chr1;847536;849980;cgd1_3780
chr1;850156;853974;cgd1_3790
chr1;86560;87986;cgd1_380
chr1;854756;855328;cgd1_3800
chr1;855666;858404;cgd1_3810
chr1;859106;862093;cgd1_3820
chr1;862446;863049;cgd1_3830
chr1;863231;866454;cgd1_3840
chr1;868819;871593;cgd1_3850
chr1;873501;874792;cgd1_3860
chr1;88568;89564;cgd1_390
chr1;12064;13215;cgd1_40
chr1;89770;91956;cgd1_400
chr1;91981;92589;cgd1_410
chr1;93432;94158;cgd1_420
chr1;94302;95066;cgd1_430
chr1;95287;96227;cgd1_440
chr1;96245;98250;cgd1_450
chr1;98340;100354;cgd1_460
chr1;101219;104017;cgd1_470
chr1;105168;105665;cgd1_480
chr1;105665;106057;cgd1_490
chr1;106501;107305;cgd1_493
chr1;46;743;cgd1_5
chr1;13330;16469;cgd1_50
chr1;107652;109128;cgd1_500
chr1;109328;111233;cgd1_510
chr1;111384;112805;cgd1_520
chr1;112972;113558;cgd1_530
chr1;113855;114565;cgd1_540
chr1;115401;116261;cgd1_543
chr1;116770;125757;cgd1_550
chr1;125943;127567;cgd1_560
chr1;127759;128463;cgd1_570
chr1;129783;132723;cgd1_580
chr1;133646;141229;cgd1_590
chr1;16597;17499;cgd1_60
chr1;141693;143247;cgd1_600
chr1;143466;144229;cgd1_610
chr1;144482;145798;cgd1_620
chr1;146344;147273;cgd1_630
chr1;147624;153926;cgd1_640
chr1;152853;152933;cgd1_645
chr1;153238;157059;cgd1_650
chr1;157604;158620;cgd1_660
chr1;159886;163416;cgd1_670
chr1;163656;165448;cgd1_680
chr1;165645;167049;cgd1_690
chr1;17693;18049;cgd1_70
chr1;167685;171980;cgd1_700
chr1;172236;175816;cgd1_710
chr1;176203;176838;cgd1_720
chr1;176974;178039;cgd1_730
chr1;178279;179059;cgd1_733
chr1;179675;180676;cgd1_740
chr1;181234;196974;cgd1_750
chr1;197197;199982;cgd1_760
chr1;200157;201770;cgd1_770
chr1;202686;203529;cgd1_780
chr1;204334;208530;cgd1_790
chr1;18285;18728;cgd1_80
chr1;209499;211472;cgd1_800
chr1;211621;213423;cgd1_810
chr1;214507;217016;cgd1_820
chr1;217149;220288;cgd1_830
chr1;220545;221481;cgd1_840
chr1;221731;222198;cgd1_843
chr1;222968;223432;cgd1_850
chr1;223958;224317;cgd1_860
chr1;224573;225205;cgd1_870
chr1;226056;227273;cgd1_880
chr1;227978;232246;cgd1_890
chr1;18868;21141;cgd1_90
chr1;232372;232689;cgd1_900
chr1;233159;233232;cgd1_905
chr1;233984;235029;cgd1_910
chr1;235349;237064;cgd1_920
chr1;237710;238609;cgd1_930
chr1;238862;239401;cgd1_940
chr1;240448;241893;cgd1_950
chr1;242137;243594;cgd1_960
chr1;245793;248294;cgd1_970
chr1;248832;251456;cgd1_980
chr1;252086;255529;cgd1_990
chr2;41835;42233;Cgd2_140
chr2;374112;375302;Cgd2_1810
chr2;621617;622330;Cgd2_2990
chr2;43;1380;cgd2_10
chr2;34972;36210;cgd2_100
chr2;225623;227542;cgd2_1000
chr2;228566;230326;cgd2_1010
chr2;231451;232743;cgd2_1020
chr2;233048;233992;cgd2_1030
chr2;234220;234795;cgd2_1040
chr2;235221;236264;cgd2_1050
chr2;236396;238552;cgd2_1060
chr2;239641;239961;cgd2_1070
chr2;240157;241911;cgd2_1080
chr2;242051;243568;cgd2_1090
chr2;37362;39149;cgd2_110
chr2;243881;246793;cgd2_1100
chr2;247211;248807;cgd2_1110
chr2;248899;250386;cgd2_1120
chr2;250408;252453;cgd2_1130
chr2;252574;253542;cgd2_1140
chr2;254843;255850;cgd2_1150
chr2;256070;258091;cgd2_1160
chr2;258587;260069;cgd2_1170
chr2;260066;261928;cgd2_1190
chr2;39964;40472;cgd2_120
chr2;262273;263202;cgd2_1200
chr2;263520;264284;cgd2_1210
chr2;264390;266105;cgd2_1220
chr2;266720;268972;cgd2_1230
chr2;269302;270603;cgd2_1240
chr2;270624;273314;cgd2_1250
chr2;273946;276381;cgd2_1260
chr2;276392;278878;cgd2_1270
chr2;279250;281307;cgd2_1280
chr2;281387;282655;cgd2_1290
chr2;40787;41125;cgd2_130
chr2;282926;284959;cgd2_1300
chr2;285392;286840;cgd2_1310
chr2;287035;288451;cgd2_1330
chr2;289323;291359;cgd2_1340
chr2;291432;292817;cgd2_1350
chr2;293143;294906;cgd2_1360
chr2;294187;294266;cgd2_1365
chr2;295049;297682;cgd2_1370
chr2;298700;300456;cgd2_1372
chr2;300970;308269;cgd2_1373
chr2;397695;399452;cgd2_1375
chr2;399964;400115;cgd2_1376
chr2;400631;404089;cgd2_1377
chr2;305137;306021;cgd2_1380
chr2;306103;306693;cgd2_1390
chr2;306747;308588;cgd2_1400
chr2;308744;309172;cgd2_1410
chr2;309912;311621;cgd2_1420
chr2;311618;313000;cgd2_1430
chr2;313106;313876;cgd2_1440
chr2;314007;315731;cgd2_1450
chr2;315699;317710;cgd2_1460
chr2;317717;318283;cgd2_1470
chr2;318304;319620;cgd2_1480
chr2;319672;320673;cgd2_1490
chr2;42483;43737;cgd2_150
chr2;321029;322651;cgd2_1500
chr2;322831;325248;cgd2_1510
chr2;325284;327062;cgd2_1520
chr2;327129;328340;cgd2_1530
chr2;328628;329083;cgd2_1540
chr2;329075;330562;cgd2_1550
chr2;330722;332320;cgd2_1560
chr2;332576;333496;cgd2_1570
chr2;333961;334326;cgd2_1580
chr2;334666;336633;cgd2_1590
chr2;44252;45633;cgd2_160
chr2;336604;339192;cgd2_1600
chr2;339559;341109;cgd2_1610
chr2;341695;342453;cgd2_1620
chr2;342954;343718;cgd2_1630
chr2;343728;346094;cgd2_1640
chr2;346989;348395;cgd2_1650
chr2;348647;349156;cgd2_1660
chr2;349213;349566;cgd2_1670
chr2;349761;350836;cgd2_1680
chr2;351264;351566;cgd2_1690
chr2;45953;46422;cgd2_170
chr2;352384;352902;cgd2_1700
chr2;353060;356563;cgd2_1710
chr2;356540;357174;cgd2_1713
chr2;357184;358983;cgd2_1720
chr2;358978;360204;cgd2_1730
chr2;360387;362795;cgd2_1740
chr2;362904;362988;cgd2_1745
chr2;363059;364507;cgd2_1750
chr2;364608;365746;cgd2_1760
chr2;365808;367085;cgd2_1770
chr2;367299;368615;cgd2_1780
chr2;369571;372690;cgd2_1790
chr2;46794;47396;cgd2_180
chr2;372784;374098;cgd2_1800
chr2;375357;376004;cgd2_1820
chr2;376550;377129;cgd2_1823
chr2;377143;378337;cgd2_1830
chr2;378392;379939;cgd2_1840
chr2;380099;381079;cgd2_1850
chr2;381336;385076;cgd2_1860
chr2;385318;386259;cgd2_1870
chr2;386950;387297;cgd2_1880
chr2;388359;389063;cgd2_1890
chr2;48167;48577;cgd2_190
chr2;389071;390078;cgd2_1900
chr2;390431;392035;cgd2_1910
chr2;392209;395631;cgd2_1920
chr2;395832;396329;cgd2_1930
chr2;397247;397953;cgd2_1940
chr2;397695;400159;cgd2_1950
chr2;400202;402334;cgd2_1960
chr2;403365;406253;cgd2_1970
chr2;407026;408138;cgd2_1980
chr2;408208;408909;cgd2_1990
chr2;3136;5184;cgd2_20
chr2;48767;49738;cgd2_200
chr2;409049;410228;cgd2_2000
chr2;410463;411266;cgd2_2010
chr2;411517;412134;cgd2_2020
chr2;412233;412908;cgd2_2030
chr2;412931;414151;cgd2_2040
chr2;414759;415625;cgd2_2050
chr2;416130;418259;cgd2_2060
chr2;418308;419885;cgd2_2070
chr2;420081;421240;cgd2_2080
chr2;421286;424635;cgd2_2090
chr2;49924;51664;cgd2_210
chr2;424580;425267;cgd2_2100
chr2;425589;426155;cgd2_2110
chr2;426567;426863;cgd2_2120
chr2;427031;431311;cgd2_2130
chr2;431889;437345;cgd2_2140
chr2;437380;437787;cgd2_2150
chr2;437848;440727;cgd2_2160
chr2;440871;442559;cgd2_2170
chr2;442770;443120;cgd2_2180
chr2;443308;444549;cgd2_2190
chr2;52137;53860;cgd2_220
chr2;445057;445362;cgd2_2200
chr2;445694;446905;cgd2_2210
chr2;447336;448190;cgd2_2220
chr2;448227;450728;cgd2_2230
chr2;450891;452276;cgd2_2240
chr2;452849;453395;cgd2_2250
chr2;453593;455626;cgd2_2260
chr2;455661;456698;cgd2_2270
chr2;456918;458597;cgd2_2280
chr2;458797;459720;cgd2_2290
chr2;54105;59152;cgd2_230
chr2;460217;461680;cgd2_2300
chr2;461790;463424;cgd2_2310
chr2;463587;468647;cgd2_2320
chr2;468839;469345;cgd2_2330
chr2;469371;474329;cgd2_2340
chr2;474683;476398;cgd2_2350
chr2;476467;482373;cgd2_2360
chr2;483128;483532;cgd2_2370
chr2;483861;484826;cgd2_2380
chr2;484894;485904;cgd2_2390
chr2;60002;60868;cgd2_240
chr2;486138;490013;cgd2_2400
chr2;490095;490562;cgd2_2410
chr2;490790;492235;cgd2_2420
chr2;492300;493303;cgd2_2430
chr2;493322;493758;cgd2_2440
chr2;494012;494515;cgd2_2450
chr2;494609;495249;cgd2_2460
chr2;495317;496021;cgd2_2470
chr2;496443;497861;cgd2_2480
chr2;499105;499989;cgd2_2490
chr2;60988;61380;cgd2_250
chr2;500132;501904;cgd2_2500
chr2;501969;504263;cgd2_2510
chr2;504383;505214;cgd2_2520
chr2;505321;506313;cgd2_2523
chr2;506527;507555;cgd2_2530
chr2;507909;508412;cgd2_2533
chr2;508551;508877;cgd2_2540
chr2;509271;514880;cgd2_2550
chr2;515739;518714;cgd2_2560
chr2;519031;519829;cgd2_2570
chr2;520249;527208;cgd2_2580
chr2;524415;524798;cgd2_2590
chr2;61838;62874;cgd2_260
chr2;527249;528740;cgd2_2600
chr2;528824;536662;cgd2_2610
chr2;537132;538931;cgd2_2620
chr2;539194;541164;cgd2_2630
chr2;541558;542115;cgd2_2640
chr2;542578;543834;cgd2_2650
chr2;544067;545359;cgd2_2660
chr2;545894;547138;cgd2_2670
chr2;547348;551652;cgd2_2680
chr2;552235;552852;cgd2_2690
chr2;62987;65067;cgd2_270
chr2;553406;554893;cgd2_2700
chr2;555033;556685;cgd2_2710
chr2;557113;560124;cgd2_2720
chr2;560922;564410;cgd2_2730
chr2;564734;566614;cgd2_2740
chr2;566716;570765;cgd2_2750
chr2;571009;573281;cgd2_2760
chr2;573430;579984;cgd2_2770
chr2;580496;581617;cgd2_2780
chr2;581692;582790;cgd2_2790
chr2;65281;65898;cgd2_280
chr2;583013;583855;cgd2_2800
chr2;583983;584675;cgd2_2810
chr2;584979;585560;cgd2_2820
chr2;585705;586625;cgd2_2830
chr2;586780;590112;cgd2_2840
chr2;590438;590992;cgd2_2850
chr2;591373;591942;cgd2_2860
chr2;592280;592486;cgd2_2870
chr2;592705;593826;cgd2_2880
chr2;593980;594876;cgd2_2890
chr2;65937;67488;cgd2_290
chr2;594996;595511;cgd2_2900
chr2;595912;599580;cgd2_2910
chr2;599661;600763;cgd2_2920
chr2;600944;602592;cgd2_2930
chr2;603043;607997;cgd2_2940
chr2;608173;615061;cgd2_2950
chr2;615324;616901;cgd2_2960
chr2;617076;617665;cgd2_2970
chr2;617862;621164;cgd2_2980
chr2;6254;7765;cgd2_30
chr2;67790;71536;cgd2_300
chr2;622764;623198;cgd2_3000
chr2;623601;625844;cgd2_3010
chr2;626110;626637;cgd2_3020
chr2;627100;629214;cgd2_3030
chr2;629335;629829;cgd2_3040
chr2;631250;631678;cgd2_3050
chr2;631731;632515;cgd2_3060
chr2;633136;633684;cgd2_3070
chr2;634689;636032;cgd2_3080
chr2;636206;638664;cgd2_3090
chr2;72412;73761;cgd2_310
chr2;638911;640609;cgd2_3100
chr2;641572;644694;cgd2_3110
chr2;645419;647476;cgd2_3120
chr2;647674;648933;cgd2_3130
chr2;649710;652043;cgd2_3140
chr2;652736;654712;cgd2_3150
chr2;654726;655481;cgd2_3160
chr2;656497;658533;cgd2_3170
chr2;659091;660574;cgd2_3180
chr2;661149;662862;cgd2_3190
chr2;73993;74473;cgd2_320
chr2;663112;664815;cgd2_3200
chr2;665062;666453;cgd2_3210
chr2;667153;669265;cgd2_3220
chr2;669753;671558;cgd2_3230
chr2;672467;673720;cgd2_3240
chr2;674080;677342;cgd2_3250
chr2;678135;679841;cgd2_3260
chr2;680052;682064;cgd2_3270
chr2;683032;683406;cgd2_3280
chr2;683559;685259;cgd2_3290
chr2;74688;76295;cgd2_330
chr2;686449;688161;cgd2_3300
chr2;688488;691277;cgd2_3310
chr2;691625;694084;cgd2_3320
chr2;695197;697980;cgd2_3330
chr2;698800;701121;cgd2_3340
chr2;701970;703153;cgd2_3350
chr2;703579;706602;cgd2_3360
chr2;707314;708311;cgd2_3370
chr2;708853;710412;cgd2_3380
chr2;710704;711198;cgd2_3390
chr2;76810;80520;cgd2_340
chr2;711355;714617;cgd2_3400
chr2;711370;711772;cgd2_3403
chr2;715000;715548;cgd2_3410
chr2;715973;717225;cgd2_3420
chr2;717649;720849;cgd2_3430
chr2;720873;725780;cgd2_3440
chr2;726677;727831;cgd2_3450
chr2;728025;730605;cgd2_3460
chr2;730559;731620;cgd2_3470
chr2;731972;734248;cgd2_3480
chr2;734529;738458;cgd2_3490
chr2;80767;80934;cgd2_350
chr2;739128;741242;cgd2_3500
chr2;742043;743851;cgd2_3510
chr2;743878;744825;cgd2_3520
chr2;745761;747386;cgd2_3530
chr2;749112;756449;cgd2_3540
chr2;756684;759266;cgd2_3550
chr2;760795;762150;cgd2_3560
chr2;762210;763769;cgd2_3570
chr2;764173;765975;cgd2_3580
chr2;767836;767947;cgd2_3585
chr2;769013;788752;cgd2_3590
chr2;81272;83699;cgd2_360
chr2;790157;794560;cgd2_3600
chr2;794592;795869;cgd2_3610
chr2;796313;799183;cgd2_3620
chr2;800011;801978;cgd2_3630
chr2;802544;804205;cgd2_3640
chr2;803970;804066;cgd2_3645
chr2;804799;805770;cgd2_3650
chr2;806094;808093;cgd2_3660
chr2;808538;810731;cgd2_3670
chr2;810985;813304;cgd2_3680
chr2;813954;826193;cgd2_3690
chr2;84177;85119;cgd2_370
chr2;826889;831784;cgd2_3700
chr2;832732;834219;cgd2_3710
chr2;834423;835056;cgd2_3720
chr2;835125;836285;cgd2_3730
chr2;836657;838045;cgd2_3740
chr2;838690;840927;cgd2_3750
chr2;841174;841626;cgd2_3760
chr2;841934;843522;cgd2_3770
chr2;844095;846264;cgd2_3780
chr2;846800;847114;cgd2_3790
chr2;85357;86272;cgd2_380
chr2;847392;848501;cgd2_3800
chr2;849265;850692;cgd2_3810
chr2;850822;851148;cgd2_3820
chr2;851199;853635;cgd2_3830
chr2;854253;855332;cgd2_3840
chr2;856064;859633;cgd2_3850
chr2;859832;861818;cgd2_3860
chr2;862672;868543;cgd2_3870
chr2;868578;870071;cgd2_3880
chr2;870697;871953;cgd2_3890
chr2;87851;89633;cgd2_390
chr2;871970;875695;cgd2_3900
chr2;876880;877353;cgd2_3910
chr2;878049;878813;cgd2_3913
chr2;879145;883163;cgd2_3920
chr2;884180;885399;cgd2_3930
chr2;885441;886624;cgd2_3940
chr2;887434;888406;cgd2_3950
chr2;888597;890530;cgd2_3960
chr2;891301;891970;cgd2_3970
chr2;893847;895922;cgd2_3980
chr2;896356;897801;cgd2_3990
chr2;7844;9346;cgd2_40
chr2;89956;90540;cgd2_400
chr2;897917;898486;cgd2_4000
chr2;898780;899885;cgd2_4010
chr2;900014;901029;cgd2_4020
chr2;901684;904086;cgd2_4030
chr2;904103;908691;cgd2_4040
chr2;909431;912069;cgd2_4050
chr2;912916;915270;cgd2_4060
chr2;915324;916547;cgd2_4070
chr2;916668;918422;cgd2_4080
chr2;918869;920964;cgd2_4090
chr2;91221;92006;cgd2_410
chr2;921193;921540;cgd2_4100
chr2;922461;923095;cgd2_4103
chr2;923440;925825;cgd2_4110
chr2;926202;926720;cgd2_4120
chr2;927067;928089;cgd2_4130
chr2;928709;929272;cgd2_4140
chr2;929671;929742;cgd2_4145
chr2;929548;932993;cgd2_4150
chr2;933413;934102;cgd2_4160
chr2;934191;934550;cgd2_4170
chr2;934807;934879;cgd2_4175
chr2;935795;936262;cgd2_4180
chr2;936407;939871;cgd2_4190
chr2;93322;93939;cgd2_420
chr2;940269;942356;cgd2_4200
chr2;942275;943879;cgd2_4210
chr2;943907;946717;cgd2_4220
chr2;946750;947196;cgd2_4230
chr2;947461;952084;cgd2_4240
chr2;952190;954451;cgd2_4250
chr2;954778;956145;cgd2_4260
