"Gene ID","Name","Type","Sequence_id","Start","End","Is Reversed","Transcript ID(s)"
"Cgd6_4720","Cgd6_4720","Intron","CM000434","1124221","1124277","1","Cgd6_4720-RA"
"Cgd6_4720","Cgd6_4720","CDS","CM000434","1123711","1124220","1","Cgd6_4720-RA"
"Cgd6_4720","Cgd6_4720","CDS","CM000434","1124278","1124580","1","Cgd6_4720-RA"
"Cgd6_4720","Cgd6_4720","UTR","CM000434","1124581","1124587","1","Cgd6_4720-RA"
"Cgd6_4723","Cgd6_4723","UTR","CM000434","1125712","1125943","0","Cgd6_4723-RA"
"Cgd6_4723","Cgd6_4723","CDS","CM000434","1125591","1125711","0","Cgd6_4723-RA"
"Cgd6_4723","Cgd6_4723","Intron","CM000434","1125493","1125590","0","Cgd6_4723-RA"
"Cgd6_4723","Cgd6_4723","CDS","CM000434","1125419","1125492","0","Cgd6_4723-RA"
"Cgd6_4723","Cgd6_4723","UTR","CM000434","1125291","1125418","0","Cgd6_4723-RA"
"Cgd7_2213","Cgd7_2213","UTR","CM000435","540293","540297","1","Cgd7_2213-RA"
"Cgd7_2213","Cgd7_2213","UTR","CM000435","537421","537550","1","Cgd7_2213-RA"
"Cgd7_2213","Cgd7_2213","Intron","CM000435","540200","540249","1","Cgd7_2213-RA"
"Cgd7_2213","Cgd7_2213","CDS","CM000435","539691","540199","1","Cgd7_2213-RA"
"Cgd7_2213","Cgd7_2213","Intron","CM000435","539640","539690","1","Cgd7_2213-RA"
"Cgd7_2213","Cgd7_2213","CDS","CM000435","539469","539639","1","Cgd7_2213-RA"
"Cgd7_2213","Cgd7_2213","Intron","CM000435","539417","539468","1","Cgd7_2213-RA"
"Cgd7_2213","Cgd7_2213","CDS","CM000435","539254","539416","1","Cgd7_2213-RA"
"Cgd7_2213","Cgd7_2213","Intron","CM000435","539207","539253","1","Cgd7_2213-RA"
"Cgd7_2213","Cgd7_2213","CDS","CM000435","538893","539206","1","Cgd7_2213-RA"
"Cgd7_2213","Cgd7_2213","Intron","CM000435","538848","538892","1","Cgd7_2213-RA"
"Cgd7_2213","Cgd7_2213","CDS","CM000435","537918","538847","1","Cgd7_2213-RA"
"Cgd7_2213","Cgd7_2213","Intron","CM000435","537866","537917","1","Cgd7_2213-RA"
"Cgd7_2213","Cgd7_2213","CDS","CM000435","537551","537865","1","Cgd7_2213-RA"
"Cgd7_2213","Cgd7_2213","CDS","CM000435","540250","540292","1","Cgd7_2213-RA"
"Cgd7_260","Cgd7_260","Intron","CM000435","59917","59995","1","Cgd7_260-RA"
"Cgd7_260","Cgd7_260","CDS","CM000435","59148","59916","1","Cgd7_260-RA"
"Cgd7_260","Cgd7_260","UTR","CM000435","60100","60311","1","Cgd7_260-RA"
"Cgd7_260","Cgd7_260","CDS","CM000435","59996","60099","1","Cgd7_260-RA"
"Cgd7_5103","Cgd7_5103","UTR","CM000435","1181259","1181847","1","Cgd7_5103-RA"
"Cgd7_5103","Cgd7_5103","CDS","CM000435","1181848","1182052","1","Cgd7_5103-RA"
"Cgd7_5103","Cgd7_5103","Intron","CM000435","1182053","1183145","1","Cgd7_5103-RA"
"Cgd7_5103","Cgd7_5103","CDS","CM000435","1183146","1183156","1","Cgd7_5103-RA"
"Cgd7_5103","Cgd7_5103","UTR","CM000435","1183157","1183538","1","Cgd7_5103-RA"
"Cgd7_760","Cgd7_760","UTR","CM000435","175783","176212","1","Cgd7_760-RA"
"Cgd7_760","Cgd7_760","CDS","CM000435","176213","178285","1","Cgd7_760-RA"
"Cgd7_760","Cgd7_760","UTR","CM000435","178286","178405","1","Cgd7_760-RA"
"Cgd8_1200","Cgd8_1200","CDS","CM000436","318410","323095","0","Cgd8_1200-RA"
"Cgd8_1390","Cgd8_1390","CDS","CM000436","383871","384689","1","Cgd8_1390-RA"
"Cgd8_1390","Cgd8_1390","UTR","CM000436","384690","384792","1","Cgd8_1390-RA"
"cgd1_10","cgd1_10","UTR","CM000429","3067","3681","1","cgd1_10-RA"
"cgd1_10","cgd1_10","CDS","CM000429","3682","4995","1","cgd1_10-RA"
"cgd1_100","cgd1_100","CDS","CM000429","21326","24442","0","cgd1_100-RA"
"cgd1_1000","cgd1_1000","CDS","CM000429","255809","256705","1","cgd1_1000-RA"
"cgd1_1010","cgd1_1010","UTR","CM000429","257646","257676","0","cgd1_1010-RA"
"cgd1_1010","cgd1_1010","CDS","CM000429","257677","258372","0","cgd1_1010-RA"
"cgd1_1023","cgd1_1023","CDS","CM000429","259336","259847","0","cgd1_1023-RA"
"cgd1_1023","cgd1_1023","CDS","CM000429","258800","259280","0","cgd1_1023-RA"
"cgd1_1023","cgd1_1023","Intron","CM000429","259281","259335","0","cgd1_1023-RA"
"cgd1_1040","cgd1_1040","CDS","CM000429","259907","261670","1","cgd1_1040-RA"
"cgd1_1050","cgd1_1050","CDS","CM000429","263068","263505","0","cgd1_1050-RA"
"cgd1_1060","cgd1_1060","CDS","CM000429","263519","266686","1","cgd1_1060-RA"
"cgd1_1063","cgd1_1063","UTR","CM000429","267535","268225","0","cgd1_1063-RA"
"cgd1_1063","cgd1_1063","CDS","CM000429","267265","267534","0","cgd1_1063-RA"
"cgd1_1063","cgd1_1063","UTR","CM000429","267167","267264","0","cgd1_1063-RA"
"cgd1_1070","cgd1_1070","UTR","CM000429","267167","267614","1","cgd1_1070-RA"
"cgd1_1070","cgd1_1070","UTR","CM000429","268107","268225","1","cgd1_1070-RA"
"cgd1_1070","cgd1_1070","CDS","CM000429","267615","268106","1","cgd1_1070-RA"
"cgd1_1080","cgd1_1080","CDS","CM000429","268373","268413","0","cgd1_1080-RA"
"cgd1_1080","cgd1_1080","Intron","CM000429","268414","268471","0","cgd1_1080-RA"
"cgd1_1080","cgd1_1080","CDS","CM000429","268472","269114","0","cgd1_1080-RA"
"cgd1_1080","cgd1_1080","UTR","CM000429","268345","268372","0","cgd1_1080-RA"
"cgd1_1090","cgd1_1090","UTR","CM000429","269512","269661","0","cgd1_1090-RA"
"cgd1_1090","cgd1_1090","CDS","CM000429","269662","271946","0","cgd1_1090-RA"
"cgd1_110","cgd1_110","UTR","CM000429","24982","25020","0","cgd1_110-RA"
"cgd1_110","cgd1_110","UTR","CM000429","26242","26491","0","cgd1_110-RA"
"cgd1_110","cgd1_110","CDS","CM000429","25021","26241","0","cgd1_110-RA"
"cgd1_1100","cgd1_1100","CDS","CM000429","272652","275963","0","cgd1_1100-RA"
"cgd1_1110","cgd1_1110","UTR","CM000429","276248","276471","0","cgd1_1110-RA"
"cgd1_1110","cgd1_1110","CDS","CM000429","276472","277839","0","cgd1_1110-RA"
"cgd1_1110","cgd1_1110","UTR","CM000429","277840","277895","0","cgd1_1110-RA"
"cgd1_1120","cgd1_1120","UTR","CM000429","278525","278557","0","cgd1_1120-RA"
"cgd1_1120","cgd1_1120","CDS","CM000429","278558","280279","0","cgd1_1120-RA"
"cgd1_1130","cgd1_1130","CDS","CM000429","280646","281359","0","cgd1_1130-RA"
"cgd1_1140","cgd1_1140","CDS","CM000429","281745","282551","0","cgd1_1140-RA"
"cgd1_1150","cgd1_1150","CDS","CM000429","282861","283241","1","cgd1_1150-RA"
"cgd1_1160","cgd1_1160","CDS","CM000429","283685","284578","0","cgd1_1160-RA"
"cgd1_1170","cgd1_1170","UTR","CM000429","285863","285934","1","cgd1_1170-RA"
"cgd1_1170","cgd1_1170","CDS","CM000429","284738","285862","1","cgd1_1170-RA"
"cgd1_1180","cgd1_1180","CDS","CM000429","286071","288704","1","cgd1_1180-RA"
"cgd1_1190","cgd1_1190","CDS","CM000429","288782","289105","0","cgd1_1190-RA"
"cgd1_120","cgd1_120","UTR","CM000429","29279","29374","0","cgd1_120-RA"
"cgd1_120","cgd1_120","CDS","CM000429","27983","29278","0","cgd1_120-RA"
"cgd1_120","cgd1_120","UTR","CM000429","27975","27982","0","cgd1_120-RA"
"cgd1_1200","cgd1_1200","CDS","CM000429","289472","290395","0","cgd1_1200-RA"
"cgd1_1210","cgd1_1210","CDS","CM000429","290456","292144","1","cgd1_1210-RA"
"cgd1_1220","cgd1_1220","CDS","CM000429","292817","295093","0","cgd1_1220-RA"
"cgd1_1230","cgd1_1230","CDS","CM000429","295298","298495","1","cgd1_1230-RA"
"cgd1_1240","cgd1_1240","UTR","CM000429","300493","300582","1","cgd1_1240-RA"
"cgd1_1240","cgd1_1240","UTR","CM000429","298900","299106","1","cgd1_1240-RA"
"cgd1_1240","cgd1_1240","CDS","CM000429","299107","300492","1","cgd1_1240-RA"
"cgd1_1250","cgd1_1250","CDS","CM000429","301025","308356","0","cgd1_1250-RA"
"cgd1_1260","cgd1_1260","Intron","CM000429","309352","309416","1","cgd1_1260-RA"
"cgd1_1260","cgd1_1260","CDS","CM000429","309417","309542","1","cgd1_1260-RA"
"cgd1_1260","cgd1_1260","CDS","CM000429","308441","309351","1","cgd1_1260-RA"
"cgd1_1260","cgd1_1260","CDS","CM000429","309594","309675","1","cgd1_1260-RA"
"cgd1_1260","cgd1_1260","Intron","CM000429","309543","309593","1","cgd1_1260-RA"
"cgd1_1270","cgd1_1270","CDS","CM000429","309998","311179","0","cgd1_1270-RA"
"cgd1_1270","cgd1_1270","UTR","CM000429","309965","309997","0","cgd1_1270-RA"
"cgd1_1280","cgd1_1280","CDS","CM000429","311537","312919","0","cgd1_1280-RA"
"cgd1_1290","cgd1_1290","CDS","CM000429","313071","313871","0","cgd1_1290-RA"
"cgd1_130","cgd1_130","UTR","CM000429","29631","29718","0","cgd1_130-RA"
"cgd1_130","cgd1_130","CDS","CM000429","29719","31791","0","cgd1_130-RA"
"cgd1_130","cgd1_130","UTR","CM000429","31792","31879","0","cgd1_130-RA"
"cgd1_1300","cgd1_1300","CDS","CM000429","314390","317488","1","cgd1_1300-RA"
"cgd1_1310","cgd1_1310","UTR","CM000429","319096","319135","0","cgd1_1310-RA"
"cgd1_1310","cgd1_1310","CDS","CM000429","318197","319095","0","cgd1_1310-RA"
"cgd1_1310","cgd1_1310","CDS","CM000429","318107","318137","0","cgd1_1310-RA"
"cgd1_1310","cgd1_1310","Intron","CM000429","318138","318196","0","cgd1_1310-RA"
"cgd1_1310","cgd1_1310","UTR","CM000429","317780","318106","0","cgd1_1310-RA"
"cgd1_1320","cgd1_1320","CDS","CM000429","319512","319923","0","cgd1_1320-RA"
"cgd1_1320","cgd1_1320","Intron","CM000429","319439","319511","0","cgd1_1320-RA"
"cgd1_1320","cgd1_1320","CDS","CM000429","319284","319438","0","cgd1_1320-RA"
"cgd1_1330","cgd1_1330","CDS","CM000429","320556","322979","0","cgd1_1330-RA"
"cgd1_1340","cgd1_1340","CDS","CM000429","322976","326047","1","cgd1_1340-RA"
"cgd1_1350","cgd1_1350","CDS","CM000429","326311","328623","0","cgd1_1350-RA"
"cgd1_1360","cgd1_1360","CDS","CM000429","328652","329197","1","cgd1_1360-RA"
"cgd1_1370","cgd1_1370","CDS","CM000429","330029","330436","1","cgd1_1370-RA"
"cgd1_1370","cgd1_1370","Intron","CM000429","329943","330028","1","cgd1_1370-RA"
"cgd1_1370","cgd1_1370","CDS","CM000429","329808","329942","1","cgd1_1370-RA"
"cgd1_1380","cgd1_1380","CDS","CM000429","330735","331775","1","cgd1_1380-RA"
"cgd1_1390","cgd1_1390","CDS","CM000429","332277","333668","0","cgd1_1390-RA"
"cgd1_140","cgd1_140","UTR","CM000429","35730","36402","0","cgd1_140-RA"
"cgd1_140","cgd1_140","CDS","CM000429","32838","35729","0","cgd1_140-RA"
"cgd1_140","cgd1_140","UTR","CM000429","32681","32837","0","cgd1_140-RA"
"cgd1_1400","cgd1_1400","CDS","CM000429","333700","336588","1","cgd1_1400-RA"
"cgd1_1410","cgd1_1410","UTR","CM000429","336844","336988","0","cgd1_1410-RA"
"cgd1_1410","cgd1_1410","CDS","CM000429","336989","337732","0","cgd1_1410-RA"
"cgd1_1410","cgd1_1410","UTR","CM000429","337733","337983","0","cgd1_1410-RA"
"cgd1_1420","cgd1_1420","CDS","CM000429","338229","339770","1","cgd1_1420-RA"
"cgd1_1433","cgd1_1433","CDS","CM000429","340669","341640","0","cgd1_1433-RA"
"cgd1_1433","cgd1_1433","Intron","CM000429","340619","340668","0","cgd1_1433-RA"
"cgd1_1433","cgd1_1433","CDS","CM000429","340292","340618","0","cgd1_1433-RA"
"cgd1_1450","cgd1_1450","CDS","CM000429","341767","344124","1","cgd1_1450-RA"
"cgd1_1460","cgd1_1460","CDS","CM000429","344678","347830","0","cgd1_1460-RA"
"cgd1_1470","cgd1_1470","CDS","CM000429","347962","349959","0","cgd1_1470-RA"
"cgd1_1480","cgd1_1480","CDS","CM000429","350112","350795","1","cgd1_1480-RA"
"cgd1_1490","cgd1_1490","CDS","CM000429","351287","352954","1","cgd1_1490-RA"
"cgd1_150","cgd1_150","UTR","CM000429","42470","42553","0","cgd1_150-RA"
"cgd1_150","cgd1_150","UTR","CM000429","39429","39481","0","cgd1_150-RA"
"cgd1_150","cgd1_150","CDS","CM000429","39482","42469","0","cgd1_150-RA"
"cgd1_1500","cgd1_1500","UTR","CM000429","354147","354157","0","cgd1_1500-RA"
"cgd1_1500","cgd1_1500","CDS","CM000429","353409","354146","0","cgd1_1500-RA"
"cgd1_1500","cgd1_1500","UTR","CM000429","353203","353408","0","cgd1_1500-RA"
"cgd1_1510","cgd1_1510","CDS","CM000429","354224","355057","1","cgd1_1510-RA"
"cgd1_1520","cgd1_1520","CDS","CM000429","355626","364652","0","cgd1_1520-RA"
"cgd1_1530","cgd1_1530","CDS","CM000429","364748","366427","1","cgd1_1530-RA"
"cgd1_1540","cgd1_1540","CDS","CM000429","366900","368933","1","cgd1_1540-RA"
"cgd1_1550","cgd1_1550","CDS","CM000429","369535","371481","0","cgd1_1550-RA"
"cgd1_1560","cgd1_1560","CDS","CM000429","371642","372829","1","cgd1_1560-RA"
"cgd1_1570","cgd1_1570","CDS","CM000429","373207","374955","0","cgd1_1570-RA"
"cgd1_1580","cgd1_1580","CDS","CM000429","375101","377893","1","cgd1_1580-RA"
"cgd1_1580","cgd1_1580","UTR","CM000429","377894","377908","1","cgd1_1580-RA"
"cgd1_1590","cgd1_1590","CDS","CM000429","378790","379368","0","cgd1_1590-RA"
"cgd1_160","cgd1_160","UTR","CM000429","42900","42939","0","cgd1_160-RA"
"cgd1_160","cgd1_160","CDS","CM000429","42940","45741","0","cgd1_160-RA"
"cgd1_160","cgd1_160","UTR","CM000429","45742","45885","0","cgd1_160-RA"
"cgd1_1600","cgd1_1600","UTR","CM000429","379717","379755","0","cgd1_1600-RA"
"cgd1_1600","cgd1_1600","CDS","CM000429","379756","380109","0","cgd1_1600-RA"
"cgd1_1610","cgd1_1610","CDS","CM000429","380290","381687","0","cgd1_1610-RA"
"cgd1_1620","cgd1_1620","UTR","CM000429","382605","382838","1","cgd1_1620-RA"
"cgd1_1620","cgd1_1620","CDS","CM000429","381834","382604","1","cgd1_1620-RA"
"cgd1_1620","cgd1_1620","UTR","CM000429","381629","381833","1","cgd1_1620-RA"
"cgd1_1625","cgd1_1625","Exon","CM000429","382785","382857","1","cgd1_1625-RA"
"cgd1_1630","cgd1_1630","UTR","CM000429","382952","383061","1","cgd1_1630-RA"
"cgd1_1630","cgd1_1630","CDS","CM000429","383062","383559","1","cgd1_1630-RA"
"cgd1_1630","cgd1_1630","UTR","CM000429","383560","383879","1","cgd1_1630-RA"
"cgd1_1640","cgd1_1640","UTR","CM000429","384278","384330","0","cgd1_1640-RA"
"cgd1_1640","cgd1_1640","CDS","CM000429","384545","393271","0","cgd1_1640-RA"
"cgd1_1640","cgd1_1640","Intron","CM000429","384457","384544","0","cgd1_1640-RA"
"cgd1_1640","cgd1_1640","CDS","CM000429","384331","384456","0","cgd1_1640-RA"
"cgd1_1650","cgd1_1650","CDS","CM000429","393387","393788","0","cgd1_1650-RA"
"cgd1_1660","cgd1_1660","CDS","CM000429","394340","394663","1","cgd1_1660-RA"
"cgd1_1670","cgd1_1670","CDS","CM000429","395022","396407","0","cgd1_1670-RA"
"cgd1_1680","cgd1_1680","UTR","CM000429","399609","399626","1","cgd1_1680-RA"
"cgd1_1680","cgd1_1680","CDS","CM000429","396525","399608","1","cgd1_1680-RA"
"cgd1_1690","cgd1_1690","CDS","CM000429","399844","401826","1","cgd1_1690-RA"
"cgd1_170","cgd1_170","CDS","CM000429","49637","50494","0","cgd1_170-RA"
"cgd1_1700","cgd1_1700","UTR","CM000429","402221","402254","1","cgd1_1700-RA"
"cgd1_1700","cgd1_1700","UTR","CM000429","404586","404708","1","cgd1_1700-RA"
"cgd1_1700","cgd1_1700","CDS","CM000429","402255","404585","1","cgd1_1700-RA"
"cgd1_1710","cgd1_1710","UTR","CM000429","406107","406109","1","cgd1_1710-RA"
"cgd1_1710","cgd1_1710","CDS","CM000429","405213","406106","1","cgd1_1710-RA"
"cgd1_1710","cgd1_1710","UTR","CM000429","404762","405212","1","cgd1_1710-RA"
"cgd1_1720","cgd1_1720","CDS","CM000429","406233","411659","0","cgd1_1720-RA"
"cgd1_1730","cgd1_1730","CDS","CM000429","411652","412896","1","cgd1_1730-RA"
"cgd1_1740","cgd1_1740","UTR","CM000429","412989","413032","1","cgd1_1740-RA"
"cgd1_1740","cgd1_1740","CDS","CM000429","413033","413818","1","cgd1_1740-RA"
"cgd1_1750","cgd1_1750","CDS","CM000429","413981","415519","0","cgd1_1750-RA"
"cgd1_1760","cgd1_1760","UTR","CM000429","416543","416650","1","cgd1_1760-RA"
"cgd1_1760","cgd1_1760","UTR","CM000429","415455","415519","1","cgd1_1760-RA"
"cgd1_1760","cgd1_1760","CDS","CM000429","415520","416542","1","cgd1_1760-RA"
"cgd1_1770","cgd1_1770","CDS","CM000429","417174","417290","1","cgd1_1770-RA"
"cgd1_1770","cgd1_1770","UTR","CM000429","416827","416859","1","cgd1_1770-RA"
"cgd1_1770","cgd1_1770","CDS","CM000429","416860","417126","1","cgd1_1770-RA"
"cgd1_1770","cgd1_1770","Intron","CM000429","417127","417173","1","cgd1_1770-RA"
"cgd1_1780","cgd1_1780","CDS","CM000429","417317","418699","1","cgd1_1780-RA"
"cgd1_1790","cgd1_1790","CDS","CM000429","419448","421430","1","cgd1_1790-RA"
"cgd1_180","cgd1_180","CDS","CM000429","50964","52550","0","cgd1_180-RA"
"cgd1_1800","cgd1_1800","CDS","CM000429","421560","423041","1","cgd1_1800-RA"
"cgd1_1810","cgd1_1810","CDS","CM000429","423248","425269","0","cgd1_1810-RA"
"cgd1_1820","cgd1_1820","CDS","CM000429","425305","425883","1","cgd1_1820-RA"
"cgd1_1830","cgd1_1830","CDS","CM000429","427054","427671","0","cgd1_1830-RA"
"cgd1_1840","cgd1_1840","CDS","CM000429","428008","430806","0","cgd1_1840-RA"
"cgd1_1850","cgd1_1850","CDS","CM000429","430822","431271","1","cgd1_1850-RA"
"cgd1_1860","cgd1_1860","CDS","CM000429","431453","432583","0","cgd1_1860-RA"
"cgd1_1870","cgd1_1870","CDS","CM000429","432994","434454","0","cgd1_1870-RA"
"cgd1_1880","cgd1_1880","CDS","CM000429","434708","435319","1","cgd1_1880-RA"
"cgd1_1890","cgd1_1890","CDS","CM000429","436022","436240","0","cgd1_1890-RA"
"cgd1_1890","cgd1_1890","CDS","CM000429","435507","435968","0","cgd1_1890-RA"
"cgd1_1890","cgd1_1890","Intron","CM000429","435969","436021","0","cgd1_1890-RA"
"cgd1_190","cgd1_190","CDS","CM000429","52816","54498","0","cgd1_190-RA"
"cgd1_1900","cgd1_1900","UTR","CM000429","436349","436433","0","cgd1_1900-RA"
"cgd1_1900","cgd1_1900","CDS","CM000429","436434","437147","0","cgd1_1900-RA"
"cgd1_1910","cgd1_1910","UTR","CM000429","438311","438346","0","cgd1_1910-RA"
"cgd1_1910","cgd1_1910","CDS","CM000429","437417","438310","0","cgd1_1910-RA"
"cgd1_1910","cgd1_1910","UTR","CM000429","437337","437416","0","cgd1_1910-RA"
"cgd1_1920","cgd1_1920","UTR","CM000429","452322","452391","0","cgd1_1920-RA"
"cgd1_1920","cgd1_1920","CDS","CM000429","438483","452321","0","cgd1_1920-RA"
"cgd1_1930","cgd1_1930","CDS","CM000429","452503","453717","0","cgd1_1930-RA"
"cgd1_1930","cgd1_1930","Intron","CM000429","453718","453769","0","cgd1_1930-RA"
"cgd1_1930","cgd1_1930","CDS","CM000429","453770","454030","0","cgd1_1930-RA"
"cgd1_1940","cgd1_1940","CDS","CM000429","454102","454659","0","cgd1_1940-RA"
"cgd1_1950","cgd1_1950","CDS","CM000429","454724","455965","1","cgd1_1950-RA"
"cgd1_1960","cgd1_1960","CDS","CM000429","456062","456664","1","cgd1_1960-RA"
"cgd1_1960","cgd1_1960","UTR","CM000429","456665","456691","1","cgd1_1960-RA"
"cgd1_1970","cgd1_1970","CDS","CM000429","457284","457853","1","cgd1_1970-RA"
"cgd1_1970","cgd1_1970","UTR","CM000429","456945","457283","1","cgd1_1970-RA"
"cgd1_1980","cgd1_1980","CDS","CM000429","458429","459922","0","cgd1_1980-RA"
"cgd1_1990","cgd1_1990","CDS","CM000429","460185","460316","0","cgd1_1990-RA"
"cgd1_1990","cgd1_1990","CDS","CM000429","460363","461017","0","cgd1_1990-RA"
"cgd1_1990","cgd1_1990","Intron","CM000429","460145","460184","0","cgd1_1990-RA"
"cgd1_1990","cgd1_1990","Intron","CM000429","460317","460362","0","cgd1_1990-RA"
"cgd1_1990","cgd1_1990","CDS","CM000429","460041","460144","0","cgd1_1990-RA"
"cgd1_20","cgd1_20","UTR","CM000429","6505","6651","1","cgd1_20-RA"
"cgd1_20","cgd1_20","CDS","CM000429","5188","6504","1","cgd1_20-RA"
"cgd1_200","cgd1_200","Intron","CM000429","55148","55193","0","cgd1_200-RA"
"cgd1_200","cgd1_200","CDS","CM000429","55194","55322","0","cgd1_200-RA"
"cgd1_200","cgd1_200","CDS","CM000429","54728","55147","0","cgd1_200-RA"
"cgd1_2000","cgd1_2000","CDS","CM000429","461235","463328","0","cgd1_2000-RA"
"cgd1_2010","cgd1_2010","CDS","CM000429","463385","465283","1","cgd1_2010-RA"
