gene;start;end;state;chromosome;chr;color
cgd1_2080;474501;475193;Unknown function;1;chr1;1
cgd1_2090;475337;476449;Unknown function;1;chr1;1
cgd1_210;56167;56781;Unknown function;1;chr1;1
cgd1_2100;476885;478391;Known function;1;chr1;2
cgd1_2110;478877;483550;Known function;1;chr1;2
cgd1_2120;483770;486559;Known function;1;chr1;2
cgd1_2130;486595;488517;Known function;1;chr1;2
cgd1_2140;488649;489494;Unknown function;1;chr1;1
cgd1_2150;489591;491660;Known function;1;chr1;2
cgd1_2160;491736;493985;Known function;1;chr1;2
cgd1_2170;494029;495242;Known function;1;chr1;2
cgd1_2180;495337;497118;Known function;1;chr1;2
cgd1_2190;497257;500190;Known function;1;chr1;2
cgd1_220;56680;57960;Known function;1;chr1;2
cgd1_2200;500382;501755;Unknown function;1;chr1;1
cgd1_2210;501808;502167;Unknown function;1;chr1;1
cgd1_2220;502406;503047;Unknown function;1;chr1;1
cgd1_2230;503066;504262;Known function;1;chr1;2
cgd1_2240;504779;506056;Known function;1;chr1;2
cgd1_2250;506132;506563;Known function;1;chr1;2
cgd1_2260;506610;507044;Known function;1;chr1;2
cgd1_2270;507293;507616;Known function;1;chr1;2
cgd1_2280;507887;508444;Known function;1;chr1;2
cgd1_2290;508802;510844;Unknown function;1;chr1;1
cgd1_2293;510967;511247;Unknown function;1;chr1;1
cgd1_230;58180;59604;Known function;1;chr1;2
cgd1_2300;511639;516339;Known function;1;chr1;2
cgd1_2310;516501;517043;Known function;1;chr1;2
cgd1_2313;517055;517395;Known function;1;chr1;2
cgd1_2320;517500;518822;Known function;1;chr1;2
cgd1_2330;520006;520848;Known function;1;chr1;2
cgd1_2340;521084;521629;Known function;1;chr1;2
cgd1_2350;522105;523784;Unknown function;1;chr1;1
cgd1_2360;524153;525067;Known function;1;chr1;2
cgd1_2370;525161;526150;Known function;1;chr1;2
cgd1_2380;526551;528239;Known function;1;chr1;2
cgd1_2390;528904;529563;Unknown function;1;chr1;1
cgd1_240;59663;60727;Known function;1;chr1;2
cgd1_2400;530055;531050;Known function;1;chr1;2
cgd1_2403;531205;531758;Unknown function;1;chr1;1
cgd1_2410;531909;535231;Unknown function;1;chr1;1
cgd1_2420;535340;536512;Known function;1;chr1;2
cgd1_2430;536725;537660;Known function;1;chr1;2
cgd1_2440;538076;539461;Known function;1;chr1;2
cgd1_2450;539488;542235;Known function;1;chr1;2
cgd1_2460;543294;543866;Unknown function;1;chr1;1
cgd1_2470;544192;545142;Known function;1;chr1;2
cgd1_2480;545389;546795;Known function;1;chr1;2
cgd1_2490;546852;547902;Known function;1;chr1;2
cgd1_250;60920;62553;Known function;1;chr1;2
cgd1_2500;548148;550046;Known function;1;chr1;2
cgd1_2510;550092;550970;Unknown function;1;chr1;1
cgd1_2520;551729;552049;Unknown function;1;chr1;1
cgd1_2530;552648;556544;Known function;1;chr1;2
cgd1_2540;556748;560314;Known function;1;chr1;2
cgd1_2550;560448;560984;Known function;1;chr1;2
cgd1_2560;561198;562127;Known function;1;chr1;2
cgd1_2570;563744;568090;Known function;1;chr1;2
cgd1_2580;568287;569030;Known function;1;chr1;2
cgd1_2590;569050;569820;Known function;1;chr1;2
cgd1_260;62769;64154;Known function;1;chr1;2
cgd1_2600;570077;572338;Known function;1;chr1;2
cgd1_2610;572516;578779;Unknown function;1;chr1;1
cgd1_2620;577426;580460;Known function;1;chr1;2
cgd1_2630;581046;582203;Known function;1;chr1;2
cgd1_2635;582312;582384;Unknown function;1;chr1;1
cgd1_2640;582439;582792;Known function;1;chr1;2
cgd1_2650;583072;585675;Known function;1;chr1;2
cgd1_2660;585729;586991;Known function;1;chr1;2
cgd1_2663;586477;587099;Unknown function;1;chr1;1
cgd1_2670;587155;588666;Known function;1;chr1;2
cgd1_2680;588932;589860;Known function;1;chr1;2
cgd1_2690;589981;590184;Known function;1;chr1;2
cgd1_270;64565;65073;Known function;1;chr1;2
cgd1_2700;590496;591719;Known function;1;chr1;2
cgd1_2710;592004;593071;Known function;1;chr1;2
cgd1_2720;593286;595568;Unknown function;1;chr1;1
cgd1_2730;596450;598531;Known function;1;chr1;2
cgd1_2740;599021;601606;Known function;1;chr1;2
cgd1_2750;601792;603687;Known function;1;chr1;2
cgd1_2760;603771;604967;Known function;1;chr1;2
cgd1_2770;605276;609121;Known function;1;chr1;2
cgd1_2780;609331;610491;Unknown function;1;chr1;1
cgd1_2783;610524;611306;Unknown function;1;chr1;1
cgd1_2790;611322;611919;Known function;1;chr1;2
cgd1_280;65365;66468;Known function;1;chr1;2
cgd1_2800;612050;612571;Known function;1;chr1;2
cgd1_2810;612638;614398;Known function;1;chr1;2
cgd1_2830;614510;615617;Known function;1;chr1;2
cgd1_2840;615716;620286;Known function;1;chr1;2
cgd1_2850;620685;624152;Known function;1;chr1;2
cgd1_2860;624563;626172;Known function;1;chr1;2
cgd1_2870;626467;628545;Known function;1;chr1;2
cgd1_2880;628736;630669;Unknown function;1;chr1;1
cgd1_2890;630870;633815;Known function;1;chr1;2
cgd1_290;66597;68096;Known function;1;chr1;2
cgd1_2900;634151;635923;Unknown function;1;chr1;1
cgd1_2910;636010;636429;Known function;1;chr1;2
cgd1_2920;636773;637435;Known function;1;chr1;2
cgd1_2940;638267;639043;Unknown function;1;chr1;1
cgd1_2943;639164;640005;Known function;1;chr1;2
cgd1_2950;640214;641569;Known function;1;chr1;2
cgd1_2960;641710;644137;Known function;1;chr1;2
cgd1_2970;644643;645809;Known function;1;chr1;2
cgd1_2980;646081;646824;Known function;1;chr1;2
cgd1_2990;647242;647658;Known function;1;chr1;2
cgd1_30;6974;11926;Unknown function;1;chr1;1
cgd1_300;68193;68615;Known function;1;chr1;2
cgd1_3000;648187;648675;Known function;1;chr1;2
cgd1_3010;649237;650091;Known function;1;chr1;2
cgd1_3020;650743;651852;Known function;1;chr1;2
cgd1_3030;651970;654432;Known function;1;chr1;2
cgd1_3033;655188;656432;Unknown function;1;chr1;1
cgd1_3040;656413;657165;Known function;1;chr1;2
cgd1_3050;658046;659425;Known function;1;chr1;2
cgd1_3060;659470;660942;Known function;1;chr1;2
cgd1_3070;661070;672657;Known function;1;chr1;2
cgd1_3080;672731;673723;Known function;1;chr1;2
cgd1_3090;673771;674997;Unknown function;1;chr1;1
cgd1_3095;675260;675330;Unknown function;1;chr1;1
cgd1_310;68873;69967;Known function;1;chr1;2
cgd1_3100;675473;677652;Known function;1;chr1;2
cgd1_3110;677502;680039;Unknown function;1;chr1;1
cgd1_3120;680648;682896;Known function;1;chr1;2
cgd1_3130;683080;685158;Known function;1;chr1;2
cgd1_3140;685948;686565;Known function;1;chr1;2
cgd1_3150;687135;688118;Known function;1;chr1;2
cgd1_3160;689611;693969;Known function;1;chr1;2
cgd1_3170;694172;699031;Known function;1;chr1;2
cgd1_3180;699723;701093;Unknown function;1;chr1;1
cgd1_3190;701488;703877;Unknown function;1;chr1;1
cgd1_320;70178;71950;Known function;1;chr1;2
cgd1_3200;704139;705002;Known function;1;chr1;2
cgd1_3210;706289;709411;Unknown function;1;chr1;1
cgd1_3220;710029;712050;Known function;1;chr1;2
cgd1_3230;713631;716270;Known function;1;chr1;2
cgd1_3240;716477;726031;Unknown function;1;chr1;1
cgd1_3250;726527;727252;Known function;1;chr1;2
cgd1_3260;727655;728692;Unknown function;1;chr1;1
cgd1_3270;728994;731316;Known function;1;chr1;2
cgd1_3280;731680;732618;Unknown function;1;chr1;1
cgd1_3290;732786;735192;Known function;1;chr1;2
cgd1_330;72883;75530;Known function;1;chr1;2
cgd1_3300;736631;737521;Known function;1;chr1;2
cgd1_3310;738098;738781;Known function;1;chr1;2
cgd1_3320;739452;740306;Known function;1;chr1;2
cgd1_3330;741190;741820;Unknown function;1;chr1;1
cgd1_3340;741906;743389;Known function;1;chr1;2
cgd1_3343;743738;744332;Known function;1;chr1;2
cgd1_3350;744658;745176;Unknown function;1;chr1;1
cgd1_3360;745203;747194;Known function;1;chr1;2
cgd1_3370;747802;748437;Known function;1;chr1;2
cgd1_3380;748525;749413;Known function;1;chr1;2
cgd1_3390;750275;752158;Known function;1;chr1;2
cgd1_340;76056;77538;Known function;1;chr1;2
cgd1_3400;752378;753617;Unknown function;1;chr1;1
cgd1_3410;754173;754445;Unknown function;1;chr1;1
cgd1_3420;755245;757449;Known function;1;chr1;2
cgd1_3430;757497;757924;Unknown function;1;chr1;1
cgd1_3440;757931;759400;Known function;1;chr1;2
cgd1_3450;759624;761868;Unknown function;1;chr1;1
cgd1_3460;762073;763032;Known function;1;chr1;2
cgd1_3470;763730;764422;Known function;1;chr1;2
cgd1_3480;764430;766267;Known function;1;chr1;2
cgd1_3490;766844;767300;Unknown function;1;chr1;1
cgd1_350;77948;80290;Known function;1;chr1;2
cgd1_3500;768100;770594;Known function;1;chr1;2
cgd1_3510;770993;772753;Known function;1;chr1;2
cgd1_3520;773437;775107;Known function;1;chr1;2
cgd1_3530;776497;779176;Known function;1;chr1;2
cgd1_3540;779715;785534;Known function;1;chr1;2
cgd1_3543;786072;786694;Unknown function;1;chr1;1
cgd1_3550;788091;790868;Known function;1;chr1;2
cgd1_3560;792033;792413;Unknown function;1;chr1;1
cgd1_3570;793113;794372;Known function;1;chr1;2
cgd1_3580;796034;796462;Unknown function;1;chr1;1
cgd1_3583;796519;797339;Unknown function;1;chr1;1
cgd1_3590;797516;798853;Unknown function;1;chr1;1
cgd1_360;81290;83800;Known function;1;chr1;2
cgd1_3600;799450;801953;Unknown function;1;chr1;1
cgd1_3610;802160;804967;Known function;1;chr1;2
cgd1_3620;806176;807282;Known function;1;chr1;2
cgd1_3630;807664;809901;Known function;1;chr1;2
cgd1_3640;810344;811912;Unknown function;1;chr1;1
cgd1_3650;812674;813732;Unknown function;1;chr1;1
cgd1_3660;814034;814651;Known function;1;chr1;2
cgd1_3670;815338;821955;Known function;1;chr1;2
cgd1_3680;822452;824064;Known function;1;chr1;2
cgd1_3690;824333;827410;Known function;1;chr1;2
cgd1_370;84017;86260;Known function;1;chr1;2
cgd1_3700;828590;829951;Known function;1;chr1;2
cgd1_3710;830164;832251;Known function;1;chr1;2
cgd1_3720;833003;834387;Known function;1;chr1;2
cgd1_3730;834953;837043;Known function;1;chr1;2
cgd1_3740;837447;841670;Known function;1;chr1;2
cgd1_3750;841889;842749;Known function;1;chr1;2
cgd1_3760;842976;846455;Unknown function;1;chr1;1
cgd1_3770;846723;847413;Unknown function;1;chr1;1
cgd1_3780;847536;849980;Known function;1;chr1;2
cgd1_3790;850156;853974;Unknown function;1;chr1;1
cgd1_380;86560;87986;Known function;1;chr1;2
cgd1_3800;854756;855328;Unknown function;1;chr1;1
cgd1_3810;855666;858404;Unknown function;1;chr1;1
cgd1_3820;859106;862093;Unknown function;1;chr1;1
cgd1_3830;862446;863049;Unknown function;1;chr1;1
cgd1_3840;863231;866454;Known function;1;chr1;2
cgd1_3850;868819;871593;Known function;1;chr1;2
cgd1_3860;873501;874792;Known function;1;chr1;2
cgd1_390;88568;89564;Unknown function;1;chr1;1
cgd1_40;12064;13215;Known function;1;chr1;2
cgd1_400;89770;91956;Known function;1;chr1;2
cgd1_410;91981;92589;Known function;1;chr1;2
cgd1_420;93432;94158;Known function;1;chr1;2
cgd1_430;94302;95066;Known function;1;chr1;2
cgd1_440;95287;96227;Known function;1;chr1;2
cgd1_450;96245;98250;Unknown function;1;chr1;1
cgd1_460;98340;100354;Unknown function;1;chr1;1
cgd1_470;101219;104017;Known function;1;chr1;2
cgd1_480;105168;105665;Unknown function;1;chr1;1
cgd1_490;105665;106057;Unknown function;1;chr1;1
cgd1_493;106501;107305;Unknown function;1;chr1;1
cgd1_5;46;743;Unknown function;1;chr1;1
cgd1_50;13330;16469;Known function;1;chr1;2
cgd1_500;107652;109128;Known function;1;chr1;2
cgd1_510;109328;111233;Unknown function;1;chr1;1
cgd1_520;111384;112805;Known function;1;chr1;2
cgd1_530;112972;113558;Known function;1;chr1;2
cgd1_540;113855;114565;Known function;1;chr1;2
cgd1_543;115401;116261;Known function;1;chr1;2
cgd1_550;116770;125757;Unknown function;1;chr1;1
cgd1_560;125943;127567;Known function;1;chr1;2
cgd1_570;127759;128463;Known function;1;chr1;2
cgd1_580;129783;132723;Known function;1;chr1;2
cgd1_590;133646;141229;Unknown function;1;chr1;1
cgd1_60;16597;17499;Known function;1;chr1;2
cgd1_600;141693;143247;Known function;1;chr1;2
cgd1_610;143466;144229;Known function;1;chr1;2
cgd1_620;144482;145798;Unknown function;1;chr1;1
cgd1_630;146344;147273;Unknown function;1;chr1;1
cgd1_640;147624;153926;Known function;1;chr1;2
cgd1_645;152853;152933;Unknown function;1;chr1;1
cgd1_650;153238;157059;Known function;1;chr1;2
cgd1_660;157604;158620;Known function;1;chr1;2
cgd1_670;159886;163416;Known function;1;chr1;2
cgd1_680;163656;165448;Unknown function;1;chr1;1
cgd1_690;165645;167049;Unknown function;1;chr1;1
cgd1_70;17693;18049;Unknown function;1;chr1;1
cgd1_700;167685;171980;Known function;1;chr1;2
cgd1_710;172236;175816;Known function;1;chr1;2
cgd1_720;176203;176838;Known function;1;chr1;2
cgd1_730;176974;178039;Known function;1;chr1;2
cgd1_733;178279;179059;Unknown function;1;chr1;1
cgd1_740;179675;180676;Known function;1;chr1;2
cgd1_750;181234;196974;Known function;1;chr1;2
cgd1_760;197197;199982;Known function;1;chr1;2
cgd1_770;200157;201770;Known function;1;chr1;2
cgd1_780;202686;203529;Unknown function;1;chr1;1
cgd1_790;204334;208530;Unknown function;1;chr1;1
cgd1_80;18285;18728;Unknown function;1;chr1;1
cgd1_800;209499;211472;Known function;1;chr1;2
cgd1_810;211621;213423;Known function;1;chr1;2
cgd1_820;214507;217016;Known function;1;chr1;2
cgd1_830;217149;220288;Known function;1;chr1;2
cgd1_840;220545;221481;Known function;1;chr1;2
cgd1_843;221731;222198;Unknown function;1;chr1;1
cgd1_850;222968;223432;Known function;1;chr1;2
cgd1_860;223958;224317;Known function;1;chr1;2
cgd1_870;224573;225205;Known function;1;chr1;2
cgd1_880;226056;227273;Known function;1;chr1;2
cgd1_890;227978;232246;Known function;1;chr1;2
cgd1_90;18868;21141;Known function;1;chr1;2
cgd1_900;232372;232689;Unknown function;1;chr1;1
cgd1_905;233159;233232;Unknown function;1;chr1;1
cgd1_910;233984;235029;Known function;1;chr1;2
cgd1_920;235349;237064;Known function;1;chr1;2
cgd1_930;237710;238609;Known function;1;chr1;2
cgd1_940;238862;239401;Unknown function;1;chr1;1
cgd1_950;240448;241893;Known function;1;chr1;2
cgd1_960;242137;243594;Known function;1;chr1;2
cgd1_970;245793;248294;Known function;1;chr1;2
cgd1_980;248832;251456;Known function;1;chr1;2
cgd1_990;252086;255529;Known function;1;chr1;2
cgd2_10;43;1380;Unknown function;2;chr2;1
cgd2_100;34972;36210;Unknown function;2;chr2;1
cgd2_1000;225623;227542;Known function;2;chr2;2
cgd2_1010;228566;230326;Known function;2;chr2;2
cgd2_1020;231451;232743;Known function;2;chr2;2
cgd2_1030;233048;233992;Known function;2;chr2;2
cgd2_1040;234220;234795;Known function;2;chr2;2
cgd2_1050;235221;236264;Unknown function;2;chr2;1
cgd2_1060;236396;238552;Known function;2;chr2;2
cgd2_1070;239641;239961;Known function;2;chr2;2
cgd2_1080;240157;241911;Unknown function;2;chr2;1
cgd2_1090;242051;243568;Known function;2;chr2;2
cgd2_110;37362;39149;Known function;2;chr2;2
cgd2_1100;243881;246793;Known function;2;chr2;2
cgd2_1110;247211;248807;Known function;2;chr2;2
cgd2_1120;248899;250386;Known function;2;chr2;2
cgd2_1130;250408;252453;Unknown function;2;chr2;1
cgd2_1140;252574;253542;Known function;2;chr2;2
cgd2_1150;254843;255850;Known function;2;chr2;2
cgd2_1160;256070;258091;Known function;2;chr2;2
cgd2_1170;258587;260069;Known function;2;chr2;2
cgd2_1190;260066;261928;Known function;2;chr2;2
cgd2_120;39964;40472;Known function;2;chr2;2
cgd2_1200;262273;263202;Known function;2;chr2;2
cgd2_1210;263520;264284;Known function;2;chr2;2
cgd2_1220;264390;266105;Unknown function;2;chr2;1
cgd2_1230;266720;268972;Unknown function;2;chr2;1
cgd2_1240;269302;270603;Known function;2;chr2;2
cgd2_1250;270624;273314;Known function;2;chr2;2
cgd2_1260;273946;276381;Unknown function;2;chr2;1
cgd2_1270;276392;278878;Known function;2;chr2;2
cgd2_1280;279250;281307;Known function;2;chr2;2
cgd2_1290;281387;282655;Unknown function;2;chr2;1
cgd2_130;40787;41125;Known function;2;chr2;2
cgd2_1300;282926;284959;Known function;2;chr2;2
cgd2_1310;285392;286840;Known function;2;chr2;2
cgd2_1330;287035;288451;Known function;2;chr2;2
cgd2_1340;289323;291359;Known function;2;chr2;2
cgd2_1350;291432;292817;Known function;2;chr2;2
cgd2_1360;293143;294906;Known function;2;chr2;2
cgd2_1365;294187;294266;Unknown function;2;chr2;1
cgd2_1370;295049;297682;Known function;2;chr2;2
cgd2_1372;298700;300456;Unknown function;2;chr2;1
cgd2_1373;300970;308269;Unknown function;2;chr2;1
cgd2_1375;397695;399452;Unknown function;2;chr2;1
cgd2_1376;399964;400115;Unknown function;2;chr2;1
cgd2_1377;400631;404089;Unknown function;2;chr2;1
cgd2_1380;305137;306021;Unknown function;2;chr2;1
cgd2_1390;306103;306693;Unknown function;2;chr2;1
cgd2_1400;306747;308588;Unknown function;2;chr2;1
cgd2_1410;308744;309172;Known function;2;chr2;2
cgd2_1420;309912;311621;Known function;2;chr2;2
cgd2_1430;311618;313000;Known function;2;chr2;2
cgd2_1440;313106;313876;Known function;2;chr2;2
cgd2_1450;314007;315731;Unknown function;2;chr2;1
cgd2_1460;315699;317710;Known function;2;chr2;2
cgd2_1470;317717;318283;Unknown function;2;chr2;1
cgd2_1480;318304;319620;Known function;2;chr2;2
cgd2_1490;319672;320673;Unknown function;2;chr2;1
cgd2_150;42483;43737;Known function;2;chr2;2
cgd2_1500;321029;322651;Known function;2;chr2;2
cgd2_1510;322831;325248;Known function;2;chr2;2
cgd2_1520;325284;327062;Unknown function;2;chr2;1
cgd2_1530;327129;328340;Known function;2;chr2;2
cgd2_1540;328628;329083;Known function;2;chr2;2
cgd2_1550;329075;330562;Known function;2;chr2;2
cgd2_1560;330722;332320;Known function;2;chr2;2
cgd2_1570;332576;333496;Known function;2;chr2;2
cgd2_1580;333961;334326;Known function;2;chr2;2
cgd2_1590;334666;336633;Known function;2;chr2;2
cgd2_160;44252;45633;Known function;2;chr2;2
cgd2_1600;336604;339192;Known function;2;chr2;2
cgd2_1610;339559;341109;Known function;2;chr2;2
cgd2_1620;341695;342453;Unknown function;2;chr2;1
cgd2_1630;342954;343718;Known function;2;chr2;2
cgd2_1640;343728;346094;Known function;2;chr2;2
cgd2_1650;346989;348395;Known function;2;chr2;2
cgd2_1660;348647;349156;Known function;2;chr2;2
cgd2_1670;349213;349566;Known function;2;chr2;2
cgd2_1680;349761;350836;Known function;2;chr2;2
cgd2_1690;351264;351566;Unknown function;2;chr2;1
cgd2_170;45953;46422;Known function;2;chr2;2
cgd2_1700;352384;352902;Known function;2;chr2;2
cgd2_1710;353060;356563;Unknown function;2;chr2;1
cgd2_1713;356540;357174;Unknown function;2;chr2;1
cgd2_1720;357184;358983;Unknown function;2;chr2;1
cgd2_1730;358978;360204;Unknown function;2;chr2;1
cgd2_1740;360387;362795;Known function;2;chr2;2
cgd2_1745;362904;362988;Unknown function;2;chr2;1
cgd2_1750;363059;364507;Known function;2;chr2;2
cgd2_1760;364608;365746;Known function;2;chr2;2
cgd2_1770;365808;367085;Known function;2;chr2;2
cgd2_1780;367299;368615;Known function;2;chr2;2
cgd2_1790;369571;372690;Unknown function;2;chr2;1
cgd2_180;46794;47396;Known function;2;chr2;2
cgd2_1800;372784;374098;Known function;2;chr2;2
cgd2_1820;375357;376004;Known function;2;chr2;2
cgd2_1823;376550;377129;Unknown function;2;chr2;1
cgd2_1830;377143;378337;Known function;2;chr2;2
cgd2_1840;378392;379939;Known function;2;chr2;2
cgd2_1850;380099;381079;Known function;2;chr2;2
cgd2_1860;381336;385076;Known function;2;chr2;2
cgd2_1870;385318;386259;Known function;2;chr2;2
cgd2_1880;386950;387297;Known function;2;chr2;2
cgd2_1890;388359;389063;Unknown function;2;chr2;1
