"Gene ID","Ontology","GO ID","Is Not","GO Term Name","Source","Evidence Code","Reference","Support for Evidence Code Assignment","sort_key","Transcript ID(s)"
"cgd1_1070","Molecular Function","GO:0003676","N/A","nucleic acid binding","Interpro","IEA","N/A","N/A","MGO:0003676","cgd1_1070-RA"
"cgd1_1100","Molecular Function","GO:0008239","N/A","dipeptidyl-peptidase activity","Interpro","IEA","N/A","N/A","MGO:0008239","cgd1_1100-RA"
"cgd1_1100","Molecular Function","GO:0016787","N/A","hydrolase activity","Interpro","IEA","N/A","N/A","MGO:0016787","cgd1_1100-RA"
"cgd1_1110","Biological Process","GO:0006659","N/A","phosphatidylserine biosynthetic process","Interpro","IEA","N/A","N/A","BGO:0006659","cgd1_1110-RA"
"cgd1_1120","Molecular Function","GO:0005488","N/A","binding","Interpro","IEA","N/A","N/A","MGO:0005488","cgd1_1120-RA"
"cgd1_1130","Molecular Function","GO:0005200","N/A","structural constituent of cytoskeleton","Interpro","IEA","N/A","N/A","MGO:0005200","cgd1_1130-RA"
"cgd1_1140","Molecular Function","GO:0000062","N/A","fatty-acyl-CoA binding","Interpro","IEA","N/A","N/A","MGO:0000062","cgd1_1140-RA"
"cgd1_1140","Molecular Function","GO:0005515","N/A","protein binding","Interpro","IEA","N/A","N/A","MGO:0005515","cgd1_1140-RA"
"cgd1_1170","Biological Process","GO:0006511","N/A","ubiquitin-dependent protein catabolic process","Interpro","IEA","N/A","N/A","BGO:0006511","cgd1_1170-RA"
"cgd1_1170","Biological Process","GO:0016579","N/A","protein deubiquitination","Interpro","IEA","N/A","N/A","BGO:0016579","cgd1_1170-RA"
"cgd1_1170","Cellular Component","GO:0005622","N/A","intracellular","Interpro","IEA","N/A","N/A","CGO:0005622","cgd1_1170-RA"
"cgd1_1170","Molecular Function","GO:0004843","N/A","thiol-dependent ubiquitin-specific protease activity","Interpro","IEA","N/A","N/A","MGO:0004843","cgd1_1170-RA"
"cgd1_1180","Molecular Function","GO:0005524","N/A","ATP binding","Interpro","IEA","N/A","N/A","MGO:0005524","cgd1_1180-RA"
"cgd1_1220","Biological Process","GO:0006468","N/A","protein phosphorylation","Interpro","IEA","N/A","N/A","BGO:0006468","cgd1_1220-RA"
"cgd1_1220","Molecular Function","GO:0004672","N/A","protein kinase activity","Interpro","IEA","N/A","N/A","MGO:0004672","cgd1_1220-RA"
"cgd1_1220","Molecular Function","GO:0004674","N/A","protein serine/threonine kinase activity","Interpro","IEA","N/A","N/A","MGO:0004674","cgd1_1220-RA"
"cgd1_1220","Molecular Function","GO:0005524","N/A","ATP binding","Interpro","IEA","N/A","N/A","MGO:0005524","cgd1_1220-RA"
"cgd1_1270","Molecular Function","GO:0005515","N/A","protein binding","Interpro","IEA","N/A","N/A","MGO:0005515","cgd1_1270-RA"
"cgd1_1280","Molecular Function","GO:0003676","N/A","nucleic acid binding","Interpro","IEA","N/A","N/A","MGO:0003676","cgd1_1280-RA"
"cgd1_1280","Molecular Function","GO:0003723","N/A","RNA binding","Interpro","IEA","N/A","N/A","MGO:0003723","cgd1_1280-RA"
"cgd1_1300","Molecular Function","GO:0005515","N/A","protein binding","Interpro","IEA","N/A","N/A","MGO:0005515","cgd1_1300-RA"
"cgd1_1310","Molecular Function","GO:0003676","N/A","nucleic acid binding","Interpro","IEA","N/A","N/A","MGO:0003676","cgd1_1310-RA"
"cgd1_1330","Molecular Function","GO:0005524","N/A","ATP binding","Interpro","IEA","N/A","N/A","MGO:0005524","cgd1_1330-RA"
"cgd1_1350","Biological Process","GO:0055085","N/A","transmembrane transport","Interpro","IEA","N/A","N/A","BGO:0055085","cgd1_1350-RA"
"cgd1_1350","Cellular Component","GO:0016021","N/A","integral component of membrane","Interpro","IEA","N/A","N/A","CGO:0016021","cgd1_1350-RA"
"cgd1_1350","Molecular Function","GO:0005524","N/A","ATP binding","Interpro","IEA","N/A","N/A","MGO:0005524","cgd1_1350-RA"
"cgd1_1350","Molecular Function","GO:0016887","N/A","ATPase activity","Interpro","IEA","N/A","N/A","MGO:0016887","cgd1_1350-RA"
"cgd1_1350","Molecular Function","GO:0042626","N/A","ATPase activity, coupled to transmembrane movement of substances","Interpro","IEA","N/A","N/A","MGO:0042626","cgd1_1350-RA"
"cgd1_1370","Molecular Function","GO:0005509","N/A","calcium ion binding","Interpro","IEA","N/A","N/A","MGO:0005509","cgd1_1370-RA"
"cgd1_1420","Biological Process","GO:0006302","N/A","double-strand break repair","Interpro","IEA","N/A","N/A","BGO:0006302","cgd1_1420-RA"
"cgd1_1420","Cellular Component","GO:0005634","N/A","nucleus","Interpro","IEA","N/A","N/A","CGO:0005634","cgd1_1420-RA"
"cgd1_1420","Molecular Function","GO:0004519","N/A","endonuclease activity","Interpro","IEA","N/A","N/A","MGO:0004519","cgd1_1420-RA"
"cgd1_1420","Molecular Function","GO:0016787","N/A","hydrolase activity","Interpro","IEA","N/A","N/A","MGO:0016787","cgd1_1420-RA"
"cgd1_1420","Molecular Function","GO:0030145","N/A","manganese ion binding","Interpro","IEA","N/A","N/A","MGO:0030145","cgd1_1420-RA"
"cgd1_1490","Biological Process","GO:0006468","N/A","protein phosphorylation","Interpro","IEA","N/A","N/A","BGO:0006468","cgd1_1490-RA"
"cgd1_1490","Molecular Function","GO:0004672","N/A","protein kinase activity","Interpro","IEA","N/A","N/A","MGO:0004672","cgd1_1490-RA"
"cgd1_1490","Molecular Function","GO:0005524","N/A","ATP binding","Interpro","IEA","N/A","N/A","MGO:0005524","cgd1_1490-RA"
"cgd1_1540","Molecular Function","GO:0005515","N/A","protein binding","Interpro","IEA","N/A","N/A","MGO:0005515","cgd1_1540-RA"
"cgd1_1560","Biological Process","GO:0006355","N/A","regulation of transcription, DNA-templated","Interpro","IEA","N/A","N/A","BGO:0006355","cgd1_1560-RA"
"cgd1_1560","Cellular Component","GO:0005667","N/A","transcription factor complex","Interpro","IEA","N/A","N/A","CGO:0005667","cgd1_1560-RA"
"cgd1_1560","Molecular Function","GO:0003700","N/A","DNA-binding transcription factor activity","Interpro","IEA","N/A","N/A","MGO:0003700","cgd1_1560-RA"
"cgd1_1580","Molecular Function","GO:0046872","N/A","metal ion binding","Interpro","IEA","N/A","N/A","MGO:0046872","cgd1_1580-RA"
"cgd1_1600","Molecular Function","GO:0003824","N/A","catalytic activity","Interpro","IEA","N/A","N/A","MGO:0003824","cgd1_1600-RA"
"cgd1_1620","Biological Process","GO:0006351","N/A","transcription, DNA-templated","Interpro","IEA","N/A","N/A","BGO:0006351","cgd1_1620-RA"
"cgd1_1620","Molecular Function","GO:0003899","N/A","DNA-directed 5'-3' RNA polymerase activity","Interpro","IEA","N/A","N/A","MGO:0003899","cgd1_1620-RA"
"cgd1_1660","Biological Process","GO:0006412","N/A","translation","Interpro","IEA","N/A","N/A","BGO:0006412","cgd1_1660-RA"
"cgd1_1660","Cellular Component","GO:0005622","N/A","intracellular","Interpro","IEA","N/A","N/A","CGO:0005622","cgd1_1660-RA"
"cgd1_1660","Cellular Component","GO:0005840","N/A","ribosome","Interpro","IEA","N/A","N/A","CGO:0005840","cgd1_1660-RA"
"cgd1_1660","Molecular Function","GO:0003735","N/A","structural constituent of ribosome","Interpro","IEA","N/A","N/A","MGO:0003735","cgd1_1660-RA"
"cgd1_1680","Molecular Function","GO:0003824","N/A","catalytic activity","Interpro","IEA","N/A","N/A","MGO:0003824","cgd1_1680-RA"
"cgd1_1680","Molecular Function","GO:0046872","N/A","metal ion binding","Interpro","IEA","N/A","N/A","MGO:0046872","cgd1_1680-RA"
"cgd1_1700","Biological Process","GO:0006355","N/A","regulation of transcription, DNA-templated","Interpro","IEA","N/A","N/A","BGO:0006355","cgd1_1700-RA"
"cgd1_1700","Molecular Function","GO:0008270","N/A","zinc ion binding","Interpro","IEA","N/A","N/A","MGO:0008270","cgd1_1700-RA"
"cgd1_1700","Molecular Function","GO:0043565","N/A","sequence-specific DNA binding","Interpro","IEA","N/A","N/A","MGO:0043565","cgd1_1700-RA"
"cgd1_1720","Biological Process","GO:0006396","N/A","RNA processing","Interpro","IEA","N/A","N/A","BGO:0006396","cgd1_1720-RA"
"cgd1_1720","Molecular Function","GO:0003723","N/A","RNA binding","Interpro","IEA","N/A","N/A","MGO:0003723","cgd1_1720-RA"
"cgd1_1720","Molecular Function","GO:0008173","N/A","RNA methyltransferase activity","Interpro","IEA","N/A","N/A","MGO:0008173","cgd1_1720-RA"
"cgd1_1760","Cellular Component","GO:0016020","N/A","membrane","Interpro","IEA","N/A","N/A","CGO:0016020","cgd1_1760-RA"
"cgd1_1800","Molecular Function","GO:0005515","N/A","protein binding","Interpro","IEA","N/A","N/A","MGO:0005515","cgd1_1800-RA"
"cgd1_1850","Molecular Function","GO:0003676","N/A","nucleic acid binding","Interpro","IEA","N/A","N/A","MGO:0003676","cgd1_1850-RA"
"cgd1_1860","Biological Process","GO:0044237","N/A","cellular metabolic process","Interpro","IEA","N/A","N/A","BGO:0044237","cgd1_1860-RA"
"cgd1_1890","Biological Process","GO:0016192","N/A","vesicle-mediated transport","Interpro","IEA","N/A","N/A","BGO:0016192","cgd1_1890-RA"
"cgd1_1890","Cellular Component","GO:0016021","N/A","integral component of membrane","Interpro","IEA","N/A","N/A","CGO:0016021","cgd1_1890-RA"
"cgd1_1920","Molecular Function","GO:0004842","N/A","ubiquitin-protein transferase activity","Interpro","IEA","N/A","N/A","MGO:0004842","cgd1_1920-RA"
"cgd1_1920","Molecular Function","GO:0005515","N/A","protein binding","Interpro","IEA","N/A","N/A","MGO:0005515","cgd1_1920-RA"
"cgd1_1930","Molecular Function","GO:0005515","N/A","protein binding","Interpro","IEA","N/A","N/A","MGO:0005515","cgd1_1930-RA"
"cgd1_1960","Biological Process","GO:0006351","N/A","transcription, DNA-templated","Interpro","IEA","N/A","N/A","BGO:0006351","cgd1_1960-RA"
"cgd1_1960","Molecular Function","GO:0003899","N/A","DNA-directed 5'-3' RNA polymerase activity","Interpro","IEA","N/A","N/A","MGO:0003899","cgd1_1960-RA"
"cgd1_1980","Molecular Function","GO:0003824","N/A","catalytic activity","Interpro","IEA","N/A","N/A","MGO:0003824","cgd1_1980-RA"
"cgd1_1990","Biological Process","GO:0006400","N/A","tRNA modification","Interpro","IEA","N/A","N/A","BGO:0006400","cgd1_1990-RA"
"cgd1_1990","Molecular Function","GO:0000287","N/A","magnesium ion binding","Interpro","IEA","N/A","N/A","MGO:0000287","cgd1_1990-RA"
"cgd1_1990","Molecular Function","GO:0008193","N/A","tRNA guanylyltransferase activity","Interpro","IEA","N/A","N/A","MGO:0008193","cgd1_1990-RA"
"cgd1_200","Cellular Component","GO:0005622","N/A","intracellular","Interpro","IEA","N/A","N/A","CGO:0005622","cgd1_200-RA"
"cgd1_200","Molecular Function","GO:0005525","N/A","GTP binding","Interpro","IEA","N/A","N/A","MGO:0005525","cgd1_200-RA"
"cgd1_2000","Biological Process","GO:0006364","N/A","rRNA processing","Interpro","IEA","N/A","N/A","BGO:0006364","cgd1_2000-RA"
"cgd1_2000","Cellular Component","GO:0032040","N/A","small-subunit processome","Interpro","IEA","N/A","N/A","CGO:0032040","cgd1_2000-RA"
"cgd1_2030","Cellular Component","GO:0016021","N/A","integral component of membrane","Interpro","IEA","N/A","N/A","CGO:0016021","cgd1_2030-RA"
"cgd1_2040","Biological Process","GO:0006096","N/A","glycolytic process","Interpro","IEA","N/A","N/A","BGO:0006096","cgd1_2040-RA"
"cgd1_2040","Molecular Function","GO:0000287","N/A","magnesium ion binding","Interpro","IEA","N/A","N/A","MGO:0000287","cgd1_2040-RA"
"cgd1_2040","Molecular Function","GO:0003824","N/A","catalytic activity","Interpro","IEA","N/A","N/A","MGO:0003824","cgd1_2040-RA"
"cgd1_2040","Molecular Function","GO:0004743","N/A","pyruvate kinase activity","Interpro","IEA","N/A","N/A","MGO:0004743","cgd1_2040-RA"
"cgd1_2040","Molecular Function","GO:0030955","N/A","potassium ion binding","Interpro","IEA","N/A","N/A","MGO:0030955","cgd1_2040-RA"
"cgd1_2050","Molecular Function","GO:0005515","N/A","protein binding","Interpro","IEA","N/A","N/A","MGO:0005515","cgd1_2050-RA"
"cgd1_2060","Molecular Function","GO:0003924","N/A","GTPase activity","Interpro","IEA","N/A","N/A","MGO:0003924","cgd1_2060-RA"
"cgd1_2060","Molecular Function","GO:0005525","N/A","GTP binding","Interpro","IEA","N/A","N/A","MGO:0005525","cgd1_2060-RA"
"cgd1_2100","Cellular Component","GO:0005789","N/A","endoplasmic reticulum membrane","Interpro","IEA","N/A","N/A","CGO:0005789","cgd1_2100-RA"
"cgd1_2100","Molecular Function","GO:0016758","N/A","transferase activity, transferring hexosyl groups","Interpro","IEA","N/A","N/A","MGO:0016758","cgd1_2100-RA"
"cgd1_2110","Biological Process","GO:0006468","N/A","protein phosphorylation","Interpro","IEA","N/A","N/A","BGO:0006468","cgd1_2110-RA"
"cgd1_2110","Molecular Function","GO:0004672","N/A","protein kinase activity","Interpro","IEA","N/A","N/A","MGO:0004672","cgd1_2110-RA"
"cgd1_2110","Molecular Function","GO:0005515","N/A","protein binding","Interpro","IEA","N/A","N/A","MGO:0005515","cgd1_2110-RA"
"cgd1_2110","Molecular Function","GO:0005524","N/A","ATP binding","Interpro","IEA","N/A","N/A","MGO:0005524","cgd1_2110-RA"
"cgd1_2120","Molecular Function","GO:0005488","N/A","binding","Interpro","IEA","N/A","N/A","MGO:0005488","cgd1_2120-RA"
"cgd1_2130","Biological Process","GO:0006412","N/A","translation","Interpro","IEA","N/A","N/A","BGO:0006412","cgd1_2130-RA"
"cgd1_2130","Biological Process","GO:0006418","N/A","tRNA aminoacylation for protein translation","Interpro","IEA","N/A","N/A","BGO:0006418","cgd1_2130-RA"
"cgd1_2130","Biological Process","GO:0006425","N/A","glutaminyl-tRNA aminoacylation","Interpro","IEA","N/A","N/A","BGO:0006425","cgd1_2130-RA"
"cgd1_2130","Biological Process","GO:0043039","N/A","tRNA aminoacylation","Interpro","IEA","N/A","N/A","BGO:0043039","cgd1_2130-RA"
"cgd1_2130","Cellular Component","GO:0005737","N/A","cytoplasm","Interpro","IEA","N/A","N/A","CGO:0005737","cgd1_2130-RA"
"cgd1_2130","Molecular Function","GO:0000166","N/A","nucleotide binding","Interpro","IEA","N/A","N/A","MGO:0000166","cgd1_2130-RA"
"cgd1_2130","Molecular Function","GO:0004812","N/A","aminoacyl-tRNA ligase activity","Interpro","IEA","N/A","N/A","MGO:0004812","cgd1_2130-RA"
"cgd1_2130","Molecular Function","GO:0004819","N/A","glutamine-tRNA ligase activity","Interpro","IEA","N/A","N/A","MGO:0004819","cgd1_2130-RA"
"cgd1_2130","Molecular Function","GO:0005524","N/A","ATP binding","Interpro","IEA","N/A","N/A","MGO:0005524","cgd1_2130-RA"
"cgd1_2150","Molecular Function","GO:0005515","N/A","protein binding","Interpro","IEA","N/A","N/A","MGO:0005515","cgd1_2150-RA"
"cgd1_2160","Molecular Function","GO:0005515","N/A","protein binding","Interpro","IEA","N/A","N/A","MGO:0005515","cgd1_2160-RA"
"cgd1_2170","Molecular Function","GO:0005515","N/A","protein binding","Interpro","IEA","N/A","N/A","MGO:0005515","cgd1_2170-RA"
"cgd1_2180","Molecular Function","GO:0005524","N/A","ATP binding","Interpro","IEA","N/A","N/A","MGO:0005524","cgd1_2180-RA"
"cgd1_2190","Biological Process","GO:0006812","N/A","cation transport","Interpro","IEA","N/A","N/A","BGO:0006812","cgd1_2190-RA"
"cgd1_2190","Biological Process","GO:0055085","N/A","transmembrane transport","Interpro","IEA","N/A","N/A","BGO:0055085","cgd1_2190-RA"
"cgd1_2190","Cellular Component","GO:0016021","N/A","integral component of membrane","Interpro","IEA","N/A","N/A","CGO:0016021","cgd1_2190-RA"
"cgd1_2190","Molecular Function","GO:0015299","N/A","solute:proton antiporter activity","Interpro","IEA","N/A","N/A","MGO:0015299","cgd1_2190-RA"
"cgd1_220","Biological Process","GO:0006508","N/A","proteolysis","Interpro","IEA","N/A","N/A","BGO:0006508","cgd1_220-RA"
"cgd1_220","Molecular Function","GO:0008233","N/A","peptidase activity","Interpro","IEA","N/A","N/A","MGO:0008233","cgd1_220-RA"
"cgd1_2230","Molecular Function","GO:0005515","N/A","protein binding","Interpro","IEA","N/A","N/A","MGO:0005515","cgd1_2230-RA"
"cgd1_2260","Biological Process","GO:0006351","N/A","transcription, DNA-templated","Interpro","IEA","N/A","N/A","BGO:0006351","cgd1_2260-RA"
"cgd1_2270","Biological Process","GO:0006412","N/A","translation","Interpro","IEA","N/A","N/A","BGO:0006412","cgd1_2270-RA"
"cgd1_2270","Cellular Component","GO:0005622","N/A","intracellular","Interpro","IEA","N/A","N/A","CGO:0005622","cgd1_2270-RA"
"cgd1_2270","Cellular Component","GO:0005840","N/A","ribosome","Interpro","IEA","N/A","N/A","CGO:0005840","cgd1_2270-RA"
"cgd1_2270","Molecular Function","GO:0003735","N/A","structural constituent of ribosome","Interpro","IEA","N/A","N/A","MGO:0003735","cgd1_2270-RA"
"cgd1_2313","Molecular Function","GO:0003676","N/A","nucleic acid binding","Interpro","IEA","N/A","N/A","MGO:0003676","cgd1_2313-RA"
"cgd1_2320","Cellular Component","GO:0005634","N/A","nucleus","Interpro","IEA","N/A","N/A","CGO:0005634","cgd1_2320-RA"
"cgd1_2330","Molecular Function","GO:0003677","N/A","DNA binding","Interpro","IEA","N/A","N/A","MGO:0003677","cgd1_2330-RA"
"cgd1_2340","Biological Process","GO:0000077","N/A","DNA damage checkpoint","Interpro","IEA","N/A","N/A","BGO:0000077","cgd1_2340-RA"
"cgd1_2340","Cellular Component","GO:0005634","N/A","nucleus","Interpro","IEA","N/A","N/A","CGO:0005634","cgd1_2340-RA"
"cgd1_2360","Molecular Function","GO:0016787","N/A","hydrolase activity","Interpro","IEA","N/A","N/A","MGO:0016787","cgd1_2360-RA"
"cgd1_2380","Molecular Function","GO:0005515","N/A","protein binding","Interpro","IEA","N/A","N/A","MGO:0005515","cgd1_2380-RA"
"cgd1_2420","Molecular Function","GO:0003725","N/A","double-stranded RNA binding","Interpro","IEA","N/A","N/A","MGO:0003725","cgd1_2420-RA"
"cgd1_2450","Molecular Function","GO:0003824","N/A","catalytic activity","Interpro","IEA","N/A","N/A","MGO:0003824","cgd1_2450-RA"
"cgd1_2450","Molecular Function","GO:0051536","N/A","iron-sulfur cluster binding","Interpro","IEA","N/A","N/A","MGO:0051536","cgd1_2450-RA"
"cgd1_2470","Molecular Function","GO:0019211","N/A","phosphatase activator activity","Interpro","IEA","N/A","N/A","MGO:0019211","cgd1_2470-RA"
"cgd1_2490","Biological Process","GO:0051603","N/A","proteolysis involved in cellular protein catabolic process","Interpro","IEA","N/A","N/A","BGO:0051603","cgd1_2490-RA"
"cgd1_2490","Cellular Component","GO:0005839","N/A","proteasome core complex","Interpro","IEA","N/A","N/A","CGO:0005839","cgd1_2490-RA"
"cgd1_2490","Molecular Function","GO:0004298","N/A","threonine-type endopeptidase activity","Interpro","IEA","N/A","N/A","MGO:0004298","cgd1_2490-RA"
"cgd1_250","Molecular Function","GO:0003676","N/A","nucleic acid binding","Interpro","IEA","N/A","N/A","MGO:0003676","cgd1_250-RA"
"cgd1_250","Molecular Function","GO:0005524","N/A","ATP binding","Interpro","IEA","N/A","N/A","MGO:0005524","cgd1_250-RA"
"cgd1_2500","Biological Process","GO:0006614","N/A","SRP-dependent cotranslational protein targeting to membrane","Interpro","IEA","N/A","N/A","BGO:0006614","cgd1_2500-RA"
"cgd1_2500","Cellular Component","GO:0005786","N/A","signal recognition particle, endoplasmic reticulum targeting","Interpro","IEA","N/A","N/A","CGO:0005786","cgd1_2500-RA"
"cgd1_2500","Molecular Function","GO:0005047","N/A","signal recognition particle binding","Interpro","IEA","N/A","N/A","MGO:0005047","cgd1_2500-RA"
"cgd1_2500","Molecular Function","GO:0008312","N/A","7S RNA binding","Interpro","IEA","N/A","N/A","MGO:0008312","cgd1_2500-RA"
"cgd1_2500","Molecular Function","GO:0030942","N/A","endoplasmic reticulum signal peptide binding","Interpro","IEA","N/A","N/A","MGO:0030942","cgd1_2500-RA"
"cgd1_2530","Biological Process","GO:0007018","N/A","microtubule-based movement","Interpro","IEA","N/A","N/A","BGO:0007018","cgd1_2530-RA"
"cgd1_2530","Molecular Function","GO:0003777","N/A","microtubule motor activity","Interpro","IEA","N/A","N/A","MGO:0003777","cgd1_2530-RA"
"cgd1_2530","Molecular Function","GO:0005524","N/A","ATP binding","Interpro","IEA","N/A","N/A","MGO:0005524","cgd1_2530-RA"
"cgd1_2530","Molecular Function","GO:0008017","N/A","microtubule binding","Interpro","IEA","N/A","N/A","MGO:0008017","cgd1_2530-RA"
"cgd1_2550","Biological Process","GO:0035434","N/A","copper ion transmembrane transport","Interpro","IEA","N/A","N/A","BGO:0035434","cgd1_2550-RA"
"cgd1_2550","Cellular Component","GO:0016021","N/A","integral component of membrane","Interpro","IEA","N/A","N/A","CGO:0016021","cgd1_2550-RA"
"cgd1_2550","Molecular Function","GO:0005375","N/A","copper ion transmembrane transporter activity","Interpro","IEA","N/A","N/A","MGO:0005375","cgd1_2550-RA"
"cgd1_2560","Biological Process","GO:0055085","N/A","transmembrane transport","Interpro","IEA","N/A","N/A","BGO:0055085","cgd1_2560-RA"
"cgd1_2560","Cellular Component","GO:0005741","N/A","mitochondrial outer membrane","Interpro","IEA","N/A","N/A","CGO:0005741","cgd1_2560-RA"
"cgd1_2580","Cellular Component","GO:0005622","N/A","intracellular","Interpro","IEA","N/A","N/A","CGO:0005622","cgd1_2580-RA"
"cgd1_2580","Molecular Function","GO:0005525","N/A","GTP binding","Interpro","IEA","N/A","N/A","MGO:0005525","cgd1_2580-RA"
"cgd1_2590","Molecular Function","GO:0008270","N/A","zinc ion binding","Interpro","IEA","N/A","N/A","MGO:0008270","cgd1_2590-RA"
"cgd1_2600","Molecular Function","GO:0005515","N/A","protein binding","Interpro","IEA","N/A","N/A","MGO:0005515","cgd1_2600-RA"
"cgd1_2620","Biological Process","GO:0055085","N/A","transmembrane transport","Interpro","IEA","N/A","N/A","BGO:0055085","cgd1_2620-RA"
"cgd1_2620","Cellular Component","GO:0016021","N/A","integral component of membrane","Interpro","IEA","N/A","N/A","CGO:0016021","cgd1_2620-RA"
"cgd1_2630","Biological Process","GO:0006468","N/A","protein phosphorylation","Interpro","IEA","N/A","N/A","BGO:0006468","cgd1_2630-RA"
"cgd1_2630","Molecular Function","GO:0004672","N/A","protein kinase activity","Interpro","IEA","N/A","N/A","MGO:0004672","cgd1_2630-RA"
"cgd1_2630","Molecular Function","GO:0005524","N/A","ATP binding","Interpro","IEA","N/A","N/A","MGO:0005524","cgd1_2630-RA"
"cgd1_2640","Cellular Component","GO:0005680","N/A","anaphase-promoting complex","Interpro","IEA","N/A","N/A","CGO:0005680","cgd1_2640-RA"
"cgd1_2640","Molecular Function","GO:0004842","N/A","ubiquitin-protein transferase activity","Interpro","IEA","N/A","N/A","MGO:0004842","cgd1_2640-RA"
"cgd1_2650","Molecular Function","GO:0004386","N/A","helicase activity","Interpro","IEA","N/A","N/A","MGO:0004386","cgd1_2650-RA"
"cgd1_2670","Molecular Function","GO:0005515","N/A","protein binding","Interpro","IEA","N/A","N/A","MGO:0005515","cgd1_2670-RA"
"cgd1_2680","Biological Process","GO:0070476","N/A","rRNA (guanine-N7)-methylation","Interpro","IEA","N/A","N/A","BGO:0070476","cgd1_2680-RA"
"cgd1_2680","Molecular Function","GO:0016435","N/A","rRNA (guanine) methyltransferase activity","Interpro","IEA","N/A","N/A","MGO:0016435","cgd1_2680-RA"
"cgd1_2690","Biological Process","GO:0000398","N/A","mRNA splicing, via spliceosome","Interpro","IEA","N/A","N/A","BGO:0000398","cgd1_2690-RA"
"cgd1_2690","Cellular Component","GO:0005732","N/A","small nucleolar ribonucleoprotein complex","Interpro","IEA","N/A","N/A","CGO:0005732","cgd1_2690-RA"
"cgd1_270","Molecular Function","GO:0003676","N/A","nucleic acid binding","Interpro","IEA","N/A","N/A","MGO:0003676","cgd1_270-RA"
"cgd1_2700","Biological Process","GO:0006508","N/A","proteolysis","Interpro","IEA","N/A","N/A","BGO:0006508","cgd1_2700-RA"
"cgd1_2700","Molecular Function","GO:0004177","N/A","aminopeptidase activity","Interpro","IEA","N/A","N/A","MGO:0004177","cgd1_2700-RA"
"cgd1_2700","Molecular Function","GO:0008235","N/A","metalloexopeptidase activity","Interpro","IEA","N/A","N/A","MGO:0008235","cgd1_2700-RA"
"cgd1_2710","Biological Process","GO:0006351","N/A","transcription, DNA-templated","Interpro","IEA","N/A","N/A","BGO:0006351","cgd1_2710-RA"
"cgd1_2710","Molecular Function","GO:0003899","N/A","DNA-directed 5'-3' RNA polymerase activity","Interpro","IEA","N/A","N/A","MGO:0003899","cgd1_2710-RA"
